region,type,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28
Colorado,all_day_bing_tiles_visited_relative_change,4.1703,3.6998,4.4003,4.1364,3.9253,3.5194,3.5006,3.5002,3.6342,3.4314,3.4532,3.411,3.0011,2.1926,1.6445,1.1399,0.3059,-0.5231,-2.3611,-3.5578,-4.5799,-5.7389,-6.6843,-7.2329,-7.9848,-8.0689,-8.5236,-9.2515,-9.7774,-10.2952,-10.5854,-10.6654,-10.7469,-10.5284,-10.1591,-9.9089,-9.6269,-9.5943,-9.6214,-9.2567,-9.1233,-8.8939,-9.5771,-10.061,-10.2609,-10.1195,-10.5839,-10.5538,-10.5234,-9.5349,-8.8262,-8.4406,-8.4697,-7.9619,-7.6775,-7.2854,-6.9407,-6.7163,-6.4729,-6.088,-5.5812,-5.0928,-4.807,-4.2458,-4.0541,-3.8017,-3.5783,-3.4447,-3.3212,-2.9839,-2.8268,-2.8907,-2.8862,-2.6931,-2.463,-2.3583,-2.2566,-1.9601,-1.3548,-0.9413,-0.8186,-0.5298,-0.2511,0.1171,-0.0395,-0.4456,-0.2525,-0.2087,-0.2033,-0.1923,-0.2839,0.0714,0.6529,0.6082,0.89,1.0382,1.1972,1.1084,1.3684,1.52,1.3192,1.3848,1.4902,1.6013,1.9554,2.1813,2.2634,2.7653,2.8793,2.9663,2.9743,3.234,3.414,3.4438,3.4707,3.454,3.3681,3.4104,3.4269,3.3792,3.5413,3.6969,3.9638,4.3811,4.542,3.9268,4.3031,4.3498,4.2294,4.077,3.8149,3.685,4.2224,3.8548,3.6533,3.591,3.5262,3.4403,3.4627,3.4726,3.3867,3.4063,3.4651,3.5016,3.573,3.5002,3.4959,3.4639,3.4818,3.4543,3.4791,3.5988,3.8443,4.0625,4.4824,4.6401,4.7884,4.8601,4.836,4.8187,4.796,4.7342,4.7671,4.6898,4.6371,4.6922,4.7164,4.5375,4.3597,4.2948,4.2082,4.1355,3.9551,3.7727,3.6625,3.5145,3.2378,3.1221,2.9116,2.8537,2.767
Colorado,all_day_ratio_single_tile_users,7.39,6.3934,5.8187,5.5341,5.3473,5.2307,5.3092,5.2992,5.2689,5.3027,5.306,5.3456,5.5178,5.7389,5.9144,6.0899,6.4588,6.8738,7.6464,8.1204,8.5231,8.9274,9.3219,9.5088,9.6899,9.6138,9.774,10.0035,10.1585,10.3152,10.3622,10.3934,10.5456,10.4397,10.2909,10.1776,10.0302,10.0584,10.0793,9.8149,9.7317,9.5911,9.9106,10.1649,10.2788,10.2743,10.6205,10.6557,10.8026,10.4237,10.1148,9.9981,10.0169,9.7451,9.6843,9.4364,9.3257,9.2171,9.0986,8.9011,8.6833,8.4439,8.4199,8.2726,8.2442,8.1162,8.0734,8.0287,8.0459,7.8949,7.7719,7.8803,7.9273,7.8912,7.8582,7.8592,7.8528,7.8923,7.6626,7.5666,7.5341,7.453,7.3289,7.3148,7.4177,7.6124,7.5489,7.4866,7.4506,7.432,7.3834,7.1868,6.9177,6.8777,6.8064,6.7684,6.7236,6.7385,6.681,6.6621,6.7651,6.7514,6.7154,6.7146,6.6331,6.6209,6.6163,6.4678,6.4404,6.435,6.4278,6.3615,6.2636,6.2402,6.2491,6.2744,6.274,6.2731,6.3033,6.3272,6.3291,6.2821,6.2077,6.1723,6.1653,6.2234,6.2029,6.1753,6.186,6.2184,6.2192,6.1933,6.0963,6.1513,6.1692,6.1868,6.2008,6.2161,6.2206,6.269,6.278,6.2637,6.2312,6.2334,6.2427,6.2469,6.2855,6.343,6.3623,6.4226,6.4154,6.3977,6.3459,6.2372,6.1738,6.1233,6.0682,6.0424,6.0391,6.058,6.108,6.0974,6.1016,6.094,6.0915,6.0647,6.0772,6.0519,6.0416,6.0388,6.0409,6.0354,6.0295,6.0163,6.0293,6.0379,6.0576,6.0801,6.0997,6.1163,6.1061
Connecticut,all_day_bing_tiles_visited_relative_change,1.1756,1.1508,1.2607,1.2594,1.286,1.2522,1.2331,1.2451,1.274,1.2546,1.2434,1.1938,1.0943,0.9745,0.804,0.6006,0.3055,0.0391,-0.2885,-0.5086,-0.7123,-0.9628,-1.26,-1.3965,-1.5831,-1.6293,-1.6853,-1.8143,-1.9824,-1.9709,-1.9738,-1.9237,-1.9651,-2.0528,-2.0219,-1.9095,-1.8389,-1.8066,-1.8557,-1.9144,-1.9048,-1.8753,-1.903,-2.0906,-2.0708,-1.9825,-1.8671,-1.7937,-1.8937,-1.7362,-1.5415,-1.6174,-1.6465,-1.6494,-1.7162,-1.4907,-1.6282,-1.6642,-1.5361,-1.4778,-1.5056,-1.4124,-1.3553,-1.0612,-0.9345,-0.8743,-0.8569,-0.7218,-0.6789,-0.7649,-0.802,-0.8467,-0.8521,-0.7919,-0.7312,-0.6645,-0.5187,-0.49,-0.4223,-0.3919,-0.3392,-0.3128,-0.2418,-0.3486,-0.2743,-0.3879,-0.3427,-0.3158,-0.3452,-0.3944,-0.2574,-0.2322,-0.0266,-0.0108,-0.0056,0.0703,0.1013,0.0969,0.1342,0.1652,0.2165,0.2563,0.1804,0.2586,0.3505,0.3812,0.3984,0.4196,0.4553,0.5797,0.6053,0.625,0.6475,0.6647,0.6607,0.6463,0.6656,0.675,0.5938,0.5312,0.4888,0.4579,0.4626,0.506,0.4321,0.3461,0.3937,0.4603,0.4886,0.45,0.3882,0.3898,0.4707,0.4839,0.4696,0.4918,0.5528,0.5769,0.62,0.6976,0.6939,0.6754,0.675,0.6512,0.6106,0.6209,0.641,0.655,0.6695,0.6473,0.6613,0.6838,0.6983,0.713,0.6647,0.6966,0.614,0.7172,0.812,0.8632,0.8907,0.9724,0.9863,1.1126,1.0244,0.9357,0.8999,0.8775,0.7251,0.6902,0.69,0.6856,0.7182,0.7324,0.7195,0.8486,0.8434,0.8144,0.8266,0.7366,0.7194
Connecticut,all_day_ratio_single_tile_users,1.6088,1.327,1.2139,1.1609,1.1227,1.1022,1.1364,1.1345,1.1329,1.1424,1.1466,1.1632,1.1915,1.2248,1.2811,1.348,1.4629,1.5685,1.7077,1.8039,1.905,2.0202,2.1874,2.2618,2.3721,2.3963,2.4265,2.4878,2.5852,2.568,2.5708,2.5363,2.569,2.6227,2.6082,2.54,2.5034,2.4911,2.5248,2.5663,2.5708,2.5622,2.5715,2.6978,2.6916,2.6583,2.603,2.5642,2.6283,2.5687,2.4503,2.5046,2.5182,2.5219,2.5576,2.4446,2.521,2.5505,2.4806,2.4535,2.4709,2.4169,2.391,2.256,2.1868,2.1614,2.157,2.0863,2.0828,2.133,2.1416,2.1644,2.1735,2.1444,2.1302,2.0962,2.0318,2.0243,1.9948,1.9746,1.9537,1.9342,1.9073,1.9452,1.912,1.9377,1.9173,1.9055,1.919,1.9325,1.879,1.8769,1.8075,1.8013,1.7891,1.7513,1.7377,1.7343,1.7235,1.7103,1.6938,1.6843,1.7118,1.6859,1.6551,1.6469,1.6443,1.6379,1.6246,1.5807,1.5768,1.571,1.5529,1.5489,1.5485,1.5561,1.556,1.5525,1.5831,1.6134,1.6288,1.6396,1.6343,1.6226,1.6507,1.6452,1.6166,1.5974,1.5858,1.5959,1.6071,1.5978,1.5988,1.615,1.6149,1.606,1.589,1.582,1.5727,1.5548,1.5575,1.5636,1.57,1.5788,1.5913,1.5804,1.5751,1.5694,1.5691,1.5758,1.5665,1.5639,1.563,1.5556,1.5627,1.5449,1.5605,1.5326,1.4943,1.4737,1.4645,1.4402,1.4408,1.4072,1.4409,1.4745,1.4899,1.4985,1.5467,1.556,1.5573,1.5515,1.5423,1.5403,1.5435,1.5036,1.5077,1.5176,1.512,1.5399,1.544
Delaware,all_day_bing_tiles_visited_relative_change,1.0243,1.0525,1.0812,1.0932,1.1039,1.0796,1.0727,1.0776,1.0813,1.0737,1.0616,1.0536,1.0511,1.025,0.9697,0.9099,0.8334,0.7521,0.6484,0.5801,0.4873,0.3937,0.2957,0.2202,0.1224,0.0858,0.0279,-0.0394,-0.0766,-0.069,-0.0732,-0.038,-0.0415,-0.0394,-0.0178,-0.0107,-0.0117,-0.0041,0.0004,-0.01,-0.0291,-0.0136,-0.0245,-0.0813,-0.0708,-0.0655,-0.0482,-0.0236,-0.0333,0.01,0.0628,0.0603,0.0651,0.0633,0.0365,0.0802,0.049,0.056,0.0791,0.0955,0.0947,0.1391,0.1652,0.2232,0.2609,0.2784,0.2649,0.2988,0.3132,0.3033,0.3336,0.3291,0.3273,0.3603,0.3753,0.3966,0.4324,0.4266,0.4298,0.4352,0.4319,0.4395,0.4155,0.3949,0.3939,0.3516,0.3674,0.3922,0.3893,0.4138,0.4484,0.4944,0.58,0.5972,0.6069,0.6362,0.6612,0.6758,0.713,0.7291,0.7515,0.7641,0.7551,0.7685,0.8012,0.8166,0.8197,0.8186,0.8138,0.8248,0.8315,0.8184,0.8059,0.8074,0.8063,0.8209,0.8361,0.8426,0.8504,0.851,0.852,0.8588,0.8629,0.88,0.8637,0.8094,0.8078,0.8085,0.7987,0.7881,0.7682,0.7286,0.7684,0.7657,0.7619,0.7666,0.775,0.7812,0.8256,0.8382,0.8353,0.8227,0.8183,0.8061,0.7917,0.7839,0.7841,0.7884,0.7993,0.8048,0.8123,0.824,0.8241,0.8259,0.8343,0.8463,0.7606,0.7707,0.7594,0.7682,0.7718,0.7723,0.7688,0.8604,0.8444,0.8405,0.8389,0.8469,0.8151,0.8109,0.8074,0.8076,0.8267,0.8448,0.8335,0.8672,0.8726,0.8694,0.8779,0.8728,0.8574
Delaware,all_day_ratio_single_tile_users,0.584,0.4929,0.4585,0.4375,0.4276,0.4273,0.4389,0.4363,0.4351,0.4381,0.441,0.4441,0.4409,0.445,0.4661,0.4868,0.5147,0.5444,0.5818,0.6097,0.6468,0.685,0.7279,0.7634,0.8152,0.8311,0.8552,0.8909,0.9063,0.9039,0.9088,0.8886,0.8958,0.8977,0.8852,0.879,0.8776,0.872,0.8692,0.8732,0.887,0.879,0.8892,0.9217,0.9175,0.9206,0.9163,0.905,0.9129,0.8949,0.8699,0.8749,0.8742,0.8767,0.8866,0.8662,0.8863,0.8855,0.8751,0.8676,0.8695,0.849,0.8388,0.8088,0.7912,0.7847,0.7955,0.7739,0.7742,0.7852,0.7726,0.7773,0.7805,0.7602,0.7584,0.7475,0.7302,0.7364,0.7332,0.728,0.7318,0.7284,0.7375,0.7414,0.7376,0.747,0.7389,0.7258,0.7247,0.7131,0.7047,0.6919,0.6642,0.6592,0.657,0.6474,0.6395,0.6352,0.6253,0.6204,0.6137,0.6104,0.6145,0.6095,0.5993,0.5969,0.5962,0.597,0.5961,0.5886,0.5862,0.5912,0.5888,0.5864,0.5854,0.5792,0.5763,0.5745,0.5734,0.579,0.5806,0.5773,0.5773,0.5718,0.5778,0.5816,0.5783,0.5821,0.5829,0.5847,0.5899,0.6038,0.602,0.6051,0.6016,0.6008,0.5994,0.5979,0.5808,0.5792,0.5836,0.5878,0.5908,0.5951,0.6006,0.6041,0.6041,0.6004,0.5968,0.5979,0.5958,0.5927,0.5943,0.5909,0.5909,0.5872,0.6101,0.6068,0.6086,0.6029,0.607,0.6063,0.6097,0.584,0.5901,0.5954,0.5966,0.5939,0.6056,0.604,0.6024,0.6017,0.5912,0.5891,0.589,0.5758,0.576,0.5786,0.5745,0.5773,0.5779
Florida,all_day_bing_tiles_visited_relative_change,3.8824,3.4809,3.6838,3.2515,2.8679,2.7595,2.8069,2.4034,2.4011,2.1865,2.2711,2.4414,2.3121,1.9439,1.8504,1.0372,0.0752,-1.2614,-2.7532,-4.3277,-6.2331,-8.3727,-9.9252,-11.3499,-12.5103,-13.5685,-14.4907,-15.2477,-15.9072,-16.3207,-16.6681,-16.6595,-16.6619,-17.0828,-17.743,-18.71,-19.1404,-19.4119,-20.0595,-20.5648,-20.6894,-20.3401,-20.2273,-20.1416,-20.126,-19.8189,-19.5456,-19.0785,-18.9259,-17.9688,-17.6998,-17.1832,-16.8198,-16.841,-17.044,-16.5702,-16.2013,-15.7092,-15.3751,-15.1423,-14.668,-13.5936,-12.703,-11.8283,-11.1963,-10.7938,-10.3218,-9.6608,-9.4912,-9.1454,-9.0223,-8.911,-8.7165,-8.5143,-8.4795,-8.4117,-8.3328,-7.9422,-8.0434,-7.9819,-7.9277,-7.6658,-7.2351,-6.9694,-6.8444,-7.9107,-7.9155,-7.8173,-7.7901,-7.8747,-7.7001,-7.3658,-5.5835,-5.2356,-5.0425,-5.0576,-5.033,-5.55,-6.5902,-6.9651,-7.0879,-7.0747,-6.7968,-6.5418,-5.7707,-4.373,-3.9166,-3.5739,-3.2775,-3.112,-2.9667,-2.6624,-2.525,-2.5284,-2.7708,-3.0076,-3.1894,-3.3534,-3.7838,-4.2182,-4.4044,-4.3205,-4.1997,-3.8845,-4.1615,-5.434,-5.6879,-5.8339,-6.0836,-6.395,-6.808,-6.773,-5.834,-5.8514,-5.7887,-5.7195,-5.6924,-5.8326,-5.8132,-5.7181,-5.6334,-5.7227,-5.8516,-5.9767,-6.0898,-6.1236,-6.0851,-6.1574,-6.1648,-6.2067,-6.2504,-6.0476,-5.7111,-5.6199,-6.0839,-5.9814,-5.7181,-5.4832,-5.3905,-5.704,-5.6299,-4.8834,-4.7722,-4.8767,-4.9805,-4.9958,-4.8338,-4.9954,-5.0443,-5.0719,-4.7564,-4.7077,-4.6962,-4.7743,-4.9878,-5.2579,-5.4992,-5.7964,-5.7508,-5.7858,-5.7332
Florida,all_day_ratio_single_tile_users,12.466,10.9946,10.308,10.0192,9.9062,9.7065,9.8761,9.9813,9.9977,10.081,10.0821,10.0272,10.0652,10.1317,10.2175,10.4762,10.7667,11.248,11.806,12.3849,13.0837,13.8874,14.4973,15.1206,15.6035,16.0289,16.3988,16.6768,16.8869,17.033,17.1744,17.123,17.1337,17.2699,17.492,17.9043,18.0819,18.1866,18.478,18.6699,18.7264,18.5286,18.3898,18.3639,18.3884,18.3407,18.3042,18.136,18.2244,17.9465,17.8909,17.6912,17.5242,17.5153,17.6862,17.5029,17.4061,17.1954,17.0885,17.0064,16.8386,16.3528,16.0438,15.739,15.497,15.2798,15.1197,14.8762,14.8411,14.7061,14.578,14.5621,14.544,14.4449,14.3905,14.3677,14.3896,14.3631,14.4256,14.3852,14.3673,14.2988,14.1769,14.0938,14.0501,14.5174,14.5446,14.5332,14.4937,14.4903,14.4568,14.3611,13.6398,13.4829,13.3797,13.4192,13.3795,13.598,13.9545,14.0573,14.1258,14.0833,13.9948,13.972,13.7104,13.2823,13.158,13.0424,12.9919,12.9051,12.889,12.8111,12.7257,12.7381,12.8164,12.8931,12.9647,13.0069,13.1398,13.3095,13.3877,13.3867,13.3932,13.358,13.4446,13.6191,13.676,13.7608,13.8298,13.8943,13.9739,13.9532,13.8651,13.9404,13.8808,13.8825,13.9107,13.9475,13.9648,13.9437,13.8905,13.9282,13.9514,14.0066,14.106,14.1252,14.1288,14.1456,14.1808,14.2042,14.177,14.054,13.9319,13.8482,14.0048,13.9194,13.8043,13.7166,13.7185,13.7702,13.7659,13.5264,13.4937,13.54,13.5148,13.4758,13.45,13.4808,13.4697,13.467,13.3468,13.3736,13.3874,13.3808,13.4341,13.5455,13.6175,13.683,13.6272,13.5754,13.5417
Georgia,all_day_bing_tiles_visited_relative_change,12.0484,9.0629,8.5013,5.5345,3.8259,4.1507,4.8528,4.0666,4.666,4.7012,6.118,8.1032,8.0066,6.8358,5.5431,3.3303,0.8791,-1.9629,-4.8932,-8.0318,-11.1316,-15.0829,-18.3705,-21.1216,-23.2189,-25.307,-26.9773,-28.4789,-28.9107,-28.645,-28.8493,-28.5614,-27.8872,-28.0293,-30.5069,-32.6859,-33.8234,-34.1304,-35.5431,-37.197,-38.1445,-36.3528,-36.7111,-36.7849,-35.8908,-34.4695,-33.1937,-31.9382,-30.7855,-30.2193,-29.538,-29.0265,-28.7427,-30.911,-30.9931,-30.2741,-27.0989,-25.4569,-24.5635,-24.2275,-21.2707,-19.0468,-17.2924,-15.3403,-14.2313,-13.4937,-12.3796,-11.2712,-11.7753,-11.1686,-10.0579,-9.8048,-9.5811,-9.1094,-8.7557,-7.8549,-7.6277,-7.9769,-8.5276,-8.5935,-9.2649,-9.2439,-9.0017,-8.8433,-8.6118,-11.0912,-11.2258,-11.1147,-11.2579,-11.6493,-11.8531,-11.6925,-7.8808,-6.8671,-5.4701,-4.9215,-4.5952,-4.4555,-4.8306,-5.4157,-5.7528,-6.6671,-6.5895,-6.3343,-5.7168,-4.6755,-4.2838,-3.8846,-3.0446,-2.7714,-2.4766,-2.2622,-1.9141,-2.1211,-2.6809,-3.2515,-3.6471,-3.9842,-4.4053,-5.1885,-5.0618,-4.5824,-3.999,-2.7958,-2.8655,-5.3724,-5.396,-5.7058,-6.5299,-7.2385,-8.4805,-8.6511,-6.3852,-6.7153,-6.3959,-5.825,-5.3352,-5.4035,-5.1569,-5.199,-5.0837,-5.2477,-5.1782,-5.4201,-5.3657,-5.568,-5.8106,-6.0143,-6.0522,-6.1727,-6.2181,-6.5502,-6.1574,-5.611,-5.2315,-4.7929,-4.436,-3.9678,-3.485,-3.6552,-3.9945,-3.98,-4.363,-4.5228,-4.7801,-4.741,-4.8816,-5.3761,-5.6416,-5.4583,-5.5071,-5.4797,-5.751,-5.9928,-6.0208,-6.4573,-7.0796,-7.634,-7.8091,-7.6628,-7.405
Georgia,all_day_ratio_single_tile_users,24.4865,21.7767,20.6543,20.5786,20.6615,20.0822,20.1688,20.3855,20.1897,20.1674,19.7075,19.13,19.0377,19.2632,19.5642,20.2101,20.9679,21.9369,22.9079,23.8757,24.784,26.1978,27.4626,28.5683,29.3253,30.0457,30.629,31.1633,31.2295,31.0569,31.2697,31.2289,31.0415,31.0971,31.9387,32.7858,33.2457,33.3167,33.9284,34.5603,34.972,34.2562,34.4289,34.372,33.953,33.4479,33.1187,32.7343,32.5995,32.744,32.6439,32.6016,32.5527,33.4825,33.5396,33.3074,31.9809,31.4725,31.1839,31.0944,30.0113,29.3122,28.7778,28.1921,27.8476,27.5416,27.1719,26.7857,27.0356,27.0075,26.5437,26.4692,26.4585,26.2752,26.1255,25.7984,25.7248,25.9838,26.1526,26.1173,26.3842,26.3504,26.3548,26.2588,26.1526,26.8862,26.8732,26.7458,26.7838,26.7777,26.7852,26.635,25.4471,25.1822,24.6883,24.4423,24.3442,24.2817,24.5179,24.7108,24.7598,25.0385,24.9581,24.8845,24.699,24.2383,24.0773,23.9448,23.7321,23.713,23.6421,23.6599,23.5477,23.5864,23.7701,23.8354,23.983,24.0281,24.0389,24.3249,24.3172,24.2548,24.1737,23.9245,24.0021,24.371,24.3119,24.3753,24.5324,24.6414,24.802,24.7394,24.4584,24.5114,24.3569,24.1047,23.9025,23.8296,23.7435,23.724,23.8086,23.8353,23.8469,23.9514,23.9878,23.9661,23.9966,23.8618,23.8349,23.8114,23.79,23.8104,23.693,23.4204,23.2722,23.1137,22.8954,22.673,22.5021,22.5925,22.7481,22.7802,22.8602,22.8813,22.9254,22.8616,22.8288,22.9343,22.9495,22.775,22.783,22.7503,22.8513,22.8983,22.8621,22.9449,23.1994,23.4187,23.4851,23.3702,23.2497
Hawaii,all_day_bing_tiles_visited_relative_change,0.9511,1.029,1.0517,1.0569,1.0577,1.0502,1.0423,1.0516,1.0558,1.0531,1.0501,1.0316,1.0137,0.9839,0.9547,0.8671,0.7497,0.644,0.5322,0.4261,0.3053,0.1653,0.0781,0.0188,-0.1082,-0.2375,-0.3571,-0.4691,-0.5755,-0.6392,-0.6994,-0.694,-0.6712,-0.6464,-0.6269,-0.6095,-0.6048,-0.6005,-0.6142,-0.6171,-0.6473,-0.6526,-0.6838,-0.6943,-0.7078,-0.6886,-0.6736,-0.6397,-0.6242,-0.5835,-0.5621,-0.5411,-0.5393,-0.5457,-0.5495,-0.5364,-0.519,-0.5151,-0.4978,-0.4837,-0.4601,-0.4329,-0.408,-0.3846,-0.356,-0.3288,-0.2998,-0.2841,-0.2731,-0.2426,-0.1969,-0.1972,-0.2017,-0.1976,-0.1883,-0.1615,-0.1417,-0.128,-0.1131,-0.0917,-0.0789,-0.0588,-0.049,-0.0365,-0.0297,-0.0445,-0.0266,-0.0169,-0.0004,0.0053,0.0084,0.0045,0.0638,0.0756,0.0955,0.106,0.1199,0.1403,0.1488,0.1486,0.1525,0.1485,0.1291,0.1252,0.1247,0.1305,0.1341,0.1384,0.151,0.1827,0.194,0.214,0.2416,0.2476,0.2509,0.2458,0.2416,0.2407,0.2268,0.2261,0.2335,0.2411,0.2621,0.2817,0.2787,0.245,0.237,0.241,0.2421,0.2276,0.2111,0.2162,0.2386,0.2316,0.2198,0.2071,0.2028,0.2064,0.2067,0.2166,0.2236,0.2209,0.2215,0.2255,0.234,0.2486,0.2256,0.0921,0.0197,0.0098,-0.0013,-0.0217,-0.0436,-0.0253,0.101,0.1884,0.1993,0.2081,0.2004,0.1949,0.1828,0.1558,0.1344,0.1293,0.1165,0.1144,0.1081,0.108,0.1156,0.1119,0.1038,0.1036,0.1034,0.0884,0.0812,0.0693,0.0537,0.0513,0.0515,0.0389,0.0357
Hawaii,all_day_ratio_single_tile_users,0.7259,0.6458,0.6076,0.5865,0.5743,0.5656,0.5771,0.5789,0.5801,0.5834,0.5867,0.5921,0.5948,0.6041,0.6127,0.6355,0.6761,0.7145,0.7508,0.7905,0.8358,0.8938,0.9316,0.9609,1.0203,1.0884,1.1473,1.2058,1.2648,1.2997,1.3266,1.3239,1.3087,1.289,1.2792,1.2613,1.2566,1.2529,1.252,1.2569,1.2822,1.2838,1.2992,1.3085,1.3171,1.3134,1.3074,1.2871,1.2824,1.2682,1.2578,1.2476,1.2478,1.2517,1.2557,1.2488,1.2406,1.2367,1.2305,1.2264,1.2159,1.1991,1.185,1.1723,1.1589,1.1416,1.1275,1.1197,1.1162,1.1119,1.0935,1.0926,1.098,1.0964,1.0888,1.0782,1.064,1.0635,1.0582,1.0471,1.039,1.0336,1.0278,1.02,1.0097,1.0228,1.0161,1.0103,1.0005,0.9995,0.9986,0.9975,0.9652,0.9589,0.9493,0.9475,0.9409,0.9303,0.9272,0.9256,0.9241,0.9274,0.9336,0.932,0.9365,0.9344,0.9348,0.9358,0.9282,0.9155,0.9144,0.9069,0.8886,0.8857,0.8833,0.8875,0.8875,0.8891,0.8977,0.9131,0.9147,0.9062,0.898,0.891,0.8942,0.9014,0.8955,0.8913,0.8959,0.9057,0.9115,0.9039,0.8955,0.9012,0.9026,0.9097,0.9069,0.9091,0.9113,0.9103,0.9131,0.9169,0.9155,0.9147,0.9115,0.9048,0.9086,0.9646,0.9995,1.0046,1.0115,1.017,1.025,1.0224,0.9672,0.931,0.9283,0.9194,0.9217,0.9262,0.9338,0.9399,0.9442,0.9421,0.9523,0.9512,0.9528,0.9532,0.952,0.953,0.9586,0.9606,0.9623,0.9693,0.9704,0.9759,0.9801,0.9828,0.9789,0.9849,0.9855
Idaho,all_day_bing_tiles_visited_relative_change,2.5591,2.0773,2.1296,2.0029,2.1393,2.0821,1.9622,1.8154,1.8384,1.8217,1.8494,1.6729,1.6065,1.2967,0.9773,0.8312,0.4871,0.0329,-0.2808,-0.6636,-0.8036,-0.8972,-1.3217,-1.7205,-2.0528,-2.6821,-3.3512,-3.9328,-4.7019,-5.1339,-5.5592,-5.7,-5.6831,-5.4984,-5.3249,-5.1852,-5.0775,-4.7409,-4.5425,-4.3403,-4.1486,-4.1173,-4.1408,-3.9874,-3.9488,-3.8957,-3.736,-3.607,-3.1732,-2.5171,-2.1353,-1.8876,-1.9502,-2.1743,-2.1851,-2.2308,-1.9977,-2.2096,-2.1258,-1.7178,-1.4073,-1.0769,-0.7645,-0.7451,-0.3494,-0.123,-0.1745,0.0658,0.1665,0.4648,0.9636,1.0597,0.9196,1.0308,1.0479,0.9896,1.0407,0.9077,0.8674,0.9775,1.0142,1.0822,1.0323,0.7544,0.9569,0.9444,1.1405,1.46,1.7086,2.0293,2.4036,2.2932,2.6663,2.7745,2.7852,2.8409,2.8457,2.779,2.6069,2.3201,2.1722,2.1402,2.1259,2.1685,2.1118,2.3772,2.5703,2.5643,2.4085,2.3878,2.503,2.8255,3.3267,3.5737,3.8705,4.1665,4.3235,4.256,4.3121,3.9198,3.559,3.3263,3.3636,3.4677,3.4458,2.9038,3.3479,3.7857,3.9072,3.8091,3.644,3.6349,4.0139,3.7069,3.4979,3.5557,3.5689,3.5577,3.5291,3.5682,3.6967,3.7619,3.8371,3.8393,3.8522,3.8909,3.9061,3.9143,3.8585,3.7802,3.778,3.7595,3.7984,3.7955,3.7741,3.9738,4.0721,4.1946,4.2678,4.2941,4.4049,4.4797,4.4052,4.2842,4.1868,4.1452,4.1561,4.1367,4.122,4.0668,4.1244,4.1268,4.1395,4.1296,4.0417,3.9103,3.8146,3.6914,3.6482,3.5695,3.4633
