region,type,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28
Alabama,all_day_bing_tiles_visited_relative_change,5.3854,4.6775,5.2571,3.7978,3.563,3.5977,3.7865,3.5546,3.9402,3.3979,3.9096,4.514,4.3376,3.7905,3.1155,2.3764,1.7203,0.7737,-0.615,-2.1676,-4.0394,-5.9616,-7.7857,-9.182,-10.1171,-10.8851,-11.2857,-11.4716,-11.5215,-11.4684,-11.9803,-11.828,-11.9319,-11.6977,-11.9367,-12.9162,-13.1293,-13.195,-14.1804,-14.5909,-15.3507,-15.5012,-16.0864,-16.126,-15.5487,-14.508,-13.95,-13.4402,-12.8509,-12.2208,-11.8035,-11.3354,-11.4111,-12.5812,-12.4155,-12.1689,-10.682,-10.1941,-9.9928,-9.984,-8.2734,-7.2624,-6.1908,-5.1387,-4.3523,-3.8936,-2.9726,-2.6033,-3.2714,-3.2104,-2.9067,-2.8985,-2.6621,-2.4233,-2.1382,-1.4594,-1.2659,-1.6124,-1.8716,-1.8228,-1.7618,-1.7125,-1.6086,-1.6468,-1.4447,-2.6351,-2.8718,-3.585,-3.6641,-3.6701,-3.499,-3.1728,-1.255,-0.8725,0.1165,0.2791,0.2272,0.0676,-0.3971,-1.2637,-1.7423,-2.1749,-2.124,-1.8636,-1.4855,-0.8721,-0.1294,0.4653,0.8122,0.7916,0.7623,0.8755,0.7805,0.4006,0.0318,-0.5498,-0.9099,-1.226,-1.7727,-1.9168,-1.8072,-1.7641,-1.2141,-0.4115,-0.3814,-1.6109,-1.6691,-1.5981,-1.5771,-1.905,-2.5837,-2.6046,-1.2938,-1.6416,-1.8652,-1.7725,-1.7743,-1.806,-1.8366,-1.9649,-1.6908,-1.6558,-1.8982,-1.9324,-1.9936,-1.996,-2.0518,-2.1972,-2.1371,-2.1472,-2.2665,-2.3177,-2.0417,-1.659,-1.3122,-0.8257,-0.3578,-0.0172,0.2517,0.1792,-0.0141,-0.0946,-0.4909,-0.81,-0.9955,-1.1705,-1.3423,-1.5178,-1.4824,-1.4648,-1.2865,-1.1305,-1.1397,-1.2018,-1.1988,-1.4087,-1.6751,-2.1353,-2.4697,-2.5844,-2.8826
Alabama,all_day_ratio_single_tile_users,11.92,10.8064,9.843,9.9472,9.8442,9.5476,9.6602,9.697,9.5698,9.7501,9.5429,9.3974,9.3841,9.4057,9.5852,9.7968,10.0457,10.383,10.8315,11.3616,12.0296,12.7511,13.3931,13.8744,14.2046,14.4224,14.5135,14.4777,14.4363,14.3513,14.6225,14.624,14.6849,14.6001,14.6549,15.0159,15.1018,15.1161,15.4309,15.5865,15.9297,15.9261,16.0894,16.0148,15.7444,15.4594,15.3407,15.1146,15.0822,15.0049,14.9547,14.8513,14.8759,15.3371,15.3388,15.2991,14.7157,14.6314,14.571,14.6481,14.0387,13.7098,13.371,13.0714,12.8262,12.6852,12.3176,12.1812,12.4892,12.5284,12.3522,12.3739,12.303,12.2394,12.1933,11.9485,11.8964,12.1451,12.2078,12.1854,12.1442,12.0843,12.1235,12.1759,12.0344,12.4225,12.5325,12.7507,12.7841,12.7048,12.5929,12.5644,11.9441,11.7339,11.4244,11.3352,11.3462,11.4412,11.5489,11.7917,11.9679,12.0899,12.0528,11.9631,11.8661,11.699,11.532,11.3816,11.2975,11.3398,11.3715,11.3563,11.3432,11.4381,11.5431,11.7053,11.7978,11.9188,12.0726,12.2217,12.2325,12.2358,12.1528,12.0111,12.0204,12.1001,11.9997,11.9605,11.9446,11.9753,12.0925,11.9956,11.7993,11.9292,11.9,11.754,11.692,11.6625,11.6993,11.7573,11.7208,11.7756,11.9352,11.9842,12.012,12.0245,12.0371,11.9996,11.9244,11.8876,11.9,11.8756,11.7667,11.6209,11.5127,11.3626,11.2304,11.0857,10.9953,10.9815,11.0269,11.0715,11.1766,11.2547,11.3052,11.3538,11.4164,11.4541,11.4345,11.4204,11.3535,11.2996,11.2856,11.2768,11.2574,11.2776,11.3465,11.4561,11.5179,11.5229,11.5826
Alaska,all_day_bing_tiles_visited_relative_change,1.1464,1.1404,1.192,1.2151,1.2192,1.2575,1.2675,1.2732,1.2063,1.1244,1.0476,0.9626,0.7713,0.6348,0.6297,0.5831,0.5197,0.3813,0.2131,0.1223,-0.0261,-0.2723,-0.4377,-0.6231,-0.7883,-0.8989,-1.0329,-1.1193,-1.2539,-1.3428,-1.355,-1.366,-1.4164,-1.3918,-1.4071,-1.3559,-1.2916,-1.3231,-1.3684,-1.3504,-1.311,-1.2141,-1.2219,-1.2132,-1.1679,-1.0442,-0.9952,-0.9698,-0.9297,-0.869,-0.8786,-0.8702,-0.8499,-0.7894,-0.756,-0.6882,-0.528,-0.4193,-0.2888,-0.1794,-0.0453,0.1053,0.2533,0.3206,0.3758,0.4294,0.4761,0.4851,0.4801,0.5376,0.6985,0.7702,0.8108,0.9082,0.9921,1.091,1.1444,1.1836,1.1849,1.1814,1.1709,1.1517,1.1207,1.0669,1.0348,0.974,1.0542,1.0761,1.1736,1.2363,1.3072,1.2495,1.3107,1.2853,1.3247,1.2775,1.2853,1.3142,1.4173,1.4571,1.4757,1.4726,1.5118,1.5292,1.5364,1.6114,1.7326,1.7086,1.6724,1.6472,1.5559,1.4826,1.4209,1.3423,1.3676,1.3846,1.3598,1.3687,1.427,1.4107,1.3994,1.444,1.573,1.7061,1.8265,1.8479,2.0121,2.0457,2.0555,1.8934,1.8087,1.7245,1.6891,1.5571,1.5344,1.4978,1.5777,1.5681,1.5461,1.5375,1.5348,1.5216,1.5726,1.5839,1.5713,1.5604,1.4385,1.4084,1.4514,1.4255,1.435,1.4911,1.5664,1.7267,1.7444,1.7044,1.6781,1.6519,1.6145,1.5479,1.4807,1.4881,1.4658,1.4566,1.4054,1.4153,1.4687,1.5173,1.5777,1.6533,1.7068,1.7373,1.7467,1.7484,1.7545,1.7251,1.6531,1.5813,1.5507,1.4871,1.4136
Alaska,all_day_ratio_single_tile_users,2.1019,1.8759,1.7411,1.7171,1.7092,1.6658,1.6886,1.7306,1.7518,1.7849,1.7833,1.7902,1.8427,1.8861,1.8585,1.8583,1.8776,1.9408,1.9817,2.0048,2.0751,2.1743,2.2492,2.3377,2.4064,2.4831,2.5545,2.596,2.662,2.7103,2.721,2.734,2.7767,2.7731,2.7919,2.7663,2.7598,2.778,2.8177,2.7895,2.7865,2.7359,2.7321,2.7193,2.7106,2.6711,2.6687,2.6563,2.6574,2.6496,2.66,2.6549,2.6317,2.591,2.5648,2.5306,2.4787,2.418,2.3611,2.302,2.2585,2.2384,2.1497,2.0717,2.071,2.0696,2.0871,2.0412,2.0179,2.0464,2.0627,1.9985,1.938,1.8516,1.8391,1.7817,1.7381,1.6912,1.6846,1.6815,1.6868,1.6798,1.7007,1.7116,1.7463,1.8288,1.8056,1.7917,1.7753,1.7426,1.7264,1.7346,1.6408,1.6929,1.7211,1.728,1.7707,1.7589,1.7422,1.7544,1.7578,1.7735,1.8128,1.785,1.7892,1.7635,1.8181,1.8103,1.7698,1.7367,1.7414,1.753,1.7695,1.7278,1.6852,1.6842,1.6858,1.687,1.6819,1.6963,1.6993,1.6865,1.6913,1.7077,1.734,1.712,1.6821,1.6929,1.7204,1.7589,1.7391,1.7001,1.7231,1.7402,1.7542,1.7725,1.7172,1.7463,1.7477,1.7553,1.7626,1.7449,1.7081,1.7043,1.6768,1.7182,1.7262,1.7387,1.7259,1.7268,1.7344,1.7237,1.6734,1.6526,1.6534,1.6581,1.654,1.6413,1.6465,1.6575,1.6665,1.6681,1.6711,1.6702,1.6863,1.6875,1.6915,1.6795,1.6255,1.6172,1.6071,1.6031,1.5995,1.5918,1.5985,1.6392,1.6524,1.6756,1.6798,1.66,1.6621
Arizona,all_day_bing_tiles_visited_relative_change,2.2962,2.412,2.4312,2.3165,2.2013,2.1236,2.1071,2.1052,2.1484,2.0853,1.9305,1.7879,1.6213,1.4674,1.4035,1.2676,1.136,0.9094,0.6669,0.4211,0.1047,-0.3591,-0.7855,-1.1037,-1.2439,-1.4479,-1.6497,-1.8183,-1.9003,-1.9084,-1.9881,-2.1239,-2.178,-2.1451,-2.1956,-2.2796,-2.3506,-2.3804,-2.4062,-2.4205,-2.4896,-2.6237,-2.7781,-2.8577,-2.8779,-2.7329,-2.603,-2.528,-2.3994,-2.2055,-2.0235,-1.9931,-2.0359,-2.0822,-2.0646,-2.0172,-1.9355,-1.9448,-1.8688,-1.7926,-1.6902,-1.5728,-1.48,-1.3991,-1.3055,-1.1845,-1.1513,-1.1206,-1.0967,-1.037,-0.9478,-0.9283,-0.9175,-0.8532,-0.7814,-0.667,-0.5875,-0.5428,-0.4099,-0.326,-0.2315,-0.1497,-0.1307,-0.0901,-0.0356,-0.1275,-0.1351,-0.1522,-0.1921,-0.2026,-0.2147,-0.1941,-0.0619,0.014,0.0784,0.1304,0.1524,0.2497,0.3087,0.2971,0.2972,0.2681,0.2821,0.2863,0.3069,0.4011,0.4177,0.4053,0.3943,0.3536,0.3721,0.2801,0.1507,0.0986,0.0853,0.0995,0.1045,0.0836,0.0159,-0.0284,-0.0252,-0.0125,-0.0232,0.0717,0.0524,-0.1117,-0.1671,-0.1602,-0.1615,-0.214,-0.3266,-0.3917,-0.2254,-0.2385,-0.2527,-0.3183,-0.276,-0.2717,-0.2271,-0.2017,-0.1623,-0.1684,-0.1274,-0.1323,-0.1358,-0.1545,-0.1239,-0.0439,-0.0384,-0.0273,-0.0331,-0.0374,0.0292,0.0714,0.102,0.1726,0.2155,0.2412,0.2861,0.2662,0.3155,0.3303,0.2742,0.2478,0.2429,0.2426,0.2408,0.237,0.2422,0.2588,0.2556,0.2472,0.2269,0.2532,0.3197,0.3476,0.3493,0.3163,0.2932,0.3101,0.3084
Arizona,all_day_ratio_single_tile_users,2.6262,2.3887,2.2357,2.1484,2.0879,2.0246,2.0294,2.0186,1.9875,2.023,2.0622,2.1115,2.1521,2.1915,2.2079,2.2751,2.3149,2.4236,2.5504,2.6672,2.7951,2.9559,3.0658,3.1732,3.2284,3.2661,3.3266,3.3701,3.4008,3.3973,3.3941,3.4283,3.4553,3.4382,3.4519,3.4816,3.5195,3.5672,3.5784,3.5832,3.6157,3.6798,3.7271,3.7557,3.7437,3.6761,3.6599,3.645,3.6314,3.6052,3.5788,3.5783,3.6152,3.6361,3.6374,3.6231,3.616,3.6058,3.5946,3.5687,3.5084,3.4638,3.4276,3.3956,3.3611,3.3278,3.3192,3.3114,3.3103,3.2823,3.2271,3.2203,3.211,3.1886,3.1857,3.164,3.1545,3.1606,3.1434,3.127,3.096,3.0429,3.0221,2.9969,2.9669,3.0294,3.0135,3.0238,3.0361,3.0456,3.0535,3.074,2.9996,2.9928,2.976,2.9665,2.9639,2.9315,2.9002,2.8953,2.8981,2.9003,2.9048,2.9022,2.8987,2.892,2.9076,2.9184,2.9261,2.9332,2.9363,2.969,2.9883,2.9894,2.9956,3.0044,3.0144,3.0244,3.0512,3.0912,3.0994,3.1014,3.0957,3.0742,3.0934,3.0972,3.0785,3.0814,3.0838,3.1107,3.1406,3.1352,3.1394,3.1689,3.1716,3.1733,3.1613,3.1541,3.1467,3.1392,3.1281,3.1218,3.1176,3.112,3.1236,3.1306,3.129,3.1208,3.122,3.1218,3.1263,3.1166,3.0951,3.0641,3.0479,3.0223,2.9955,2.9682,2.9436,2.9351,2.9261,2.9229,2.9375,2.9566,2.9733,2.9872,2.9977,2.9877,2.9872,2.9899,2.984,2.9762,2.9751,2.9683,2.9617,2.9483,2.9442,2.9456,2.9418,2.9311,2.9237
Arkansas,all_day_bing_tiles_visited_relative_change,5.5286,6.1992,7.548,6.8328,6.6541,6.4229,6.2585,6.2097,5.715,5.1793,4.9978,4.6261,3.7994,2.2103,1.0406,0.1075,-1.2725,-2.5844,-4.1053,-5.5153,-6.5823,-8.6219,-9.6254,-10.9073,-11.437,-11.7584,-11.8331,-12.4747,-11.5982,-11.8469,-11.7663,-11.3191,-11.164,-11.3062,-11.3917,-11.8249,-11.5672,-11.4538,-12.0155,-12.3787,-12.3692,-11.8222,-12.9439,-12.8057,-12.4749,-11.6639,-10.9786,-10.6461,-9.909,-8.8411,-8.2142,-7.5103,-8.4487,-8.9043,-8.8662,-8.8437,-7.3921,-7.2961,-7.54,-6.5461,-5.6693,-4.5433,-3.3969,-3.2096,-2.86,-2.2489,-1.733,-1.5967,-2.0796,-2.0119,-1.1144,-0.8439,-1.3526,-1.4084,-1.2369,-1.2049,-1.8277,-2.7423,-2.5478,-1.788,-1.3292,-1.0503,-0.6932,0.0688,0.8556,-0.4327,-0.6854,-1.2033,-1.5942,-1.4523,-1.2307,-0.839,0.9656,1.5822,2.2333,2.5622,2.7684,2.8099,2.7778,1.9041,1.4552,1.2889,1.5068,1.6263,1.8041,1.9555,2.6805,3.2443,3.344,3.3446,3.3271,3.3011,3.0405,2.4075,1.9005,1.8049,1.7489,1.4274,0.9672,0.9669,1.1699,1.4024,1.7263,2.0489,2.2812,1.4335,1.4617,1.6708,1.6864,1.3105,0.6689,0.4712,1.3668,1.0758,1.0546,0.9762,0.9835,0.9769,0.8344,0.8827,1.0549,0.9923,0.9883,0.8127,0.7398,0.7676,0.7037,0.6425,0.5296,0.5066,0.3613,0.4159,0.6025,0.7866,1.1442,1.6949,2.1739,2.6523,3.0045,2.8462,2.8475,2.6547,2.3033,1.6845,1.1893,0.9505,0.9908,0.9223,0.8612,0.8749,1.1821,1.4534,1.7365,1.9462,1.9819,2.0998,2.0119,1.9854,2.0509,0.9479,0.2931
Arkansas,all_day_ratio_single_tile_users,13.2273,11.3226,10.3687,10.1346,9.8638,9.6808,9.9078,9.8874,10.0516,10.2053,10.2182,10.2568,10.4435,10.8708,11.3217,11.6048,12.1245,12.6817,13.341,13.8204,14.1925,15.0228,15.4577,15.8689,16.09,16.147,16.2081,16.3912,15.9976,16.0198,15.9755,15.7749,15.761,15.8019,15.8576,15.9799,15.8231,15.7899,15.958,16.0132,16.0105,15.711,16.1101,16.067,15.9441,15.7091,15.5089,15.4047,15.2137,14.8792,14.7675,14.5722,14.9911,15.1543,15.0875,15.1375,14.5796,14.5602,14.6118,14.2019,13.9367,13.5779,13.2437,13.1859,13.0429,12.8488,12.7139,12.6526,12.8919,12.8542,12.533,12.5358,12.7797,12.7565,12.7351,12.7,12.9087,13.3035,13.2073,12.8786,12.7766,12.7162,12.665,12.4526,12.216,12.7419,12.8105,12.9194,12.9857,12.8788,12.8145,12.7568,12.1026,11.9714,11.8177,11.751,11.7453,11.6938,11.6612,11.9476,12.1137,12.1729,12.1399,12.097,12.1505,12.1388,11.928,11.7812,11.793,11.8258,11.8642,11.8774,11.8717,12.0378,12.146,12.172,12.1612,12.2541,12.3452,12.4296,12.3949,12.327,12.2372,12.1933,12.1424,12.1371,12.0102,11.9498,11.9869,12.0744,12.2406,12.259,12.2855,12.489,12.4851,12.5116,12.499,12.4799,12.5345,12.5437,12.5095,12.5625,12.573,12.6716,12.6924,12.6958,12.6937,12.7204,12.701,12.6972,12.6393,12.6032,12.5113,12.3921,12.2899,12.065,11.8642,11.747,11.6764,11.6541,11.7092,11.7675,11.9433,12.1255,12.2236,12.2139,12.2976,12.3007,12.2321,12.1422,12.0494,11.9188,11.8655,11.7521,11.6545,11.651,11.6437,11.5844,11.6008,11.8343,11.8987
California,all_day_bing_tiles_visited_relative_change,3.1068,3.1918,3.5645,3.1025,2.9293,2.6187,2.032,1.7631,1.596,1.1909,0.9445,0.6843,0.3652,-0.3429,-1.5528,-2.828,-4.4302,-6.1734,-8.0081,-9.9397,-11.5769,-13.2561,-14.6933,-15.8964,-16.7713,-17.605,-18.1599,-18.6181,-18.9744,-19.0238,-18.791,-18.418,-18.1952,-17.7999,-17.7772,-18.1704,-18.4801,-18.6812,-19.1082,-19.5609,-20.0165,-19.7117,-19.2955,-18.8107,-18.4563,-17.8988,-17.3339,-16.9957,-16.7099,-16.0419,-15.878,-15.7001,-15.7444,-15.666,-15.5042,-15.1844,-14.8559,-14.5927,-14.3553,-14.0744,-13.7408,-13.2038,-12.8285,-12.3285,-11.8984,-11.5772,-11.2696,-11.1129,-11.0208,-10.5828,-10.1937,-10.1903,-10.2667,-10.3067,-10.2181,-10.0965,-10.1024,-10.5081,-10.7125,-10.5421,-10.2848,-10.005,-9.7276,-9.3564,-8.5569,-8.5004,-8.142,-7.9804,-7.7834,-7.756,-8.1091,-8.159,-7.3516,-7.1902,-6.9796,-6.7922,-6.5493,-5.998,-5.6187,-5.5531,-5.3464,-5.1884,-5.1292,-5.0908,-4.9194,-4.4708,-4.2596,-4.08,-3.9815,-3.7939,-3.5574,-3.2635,-3.1359,-3.1256,-3.2006,-3.185,-3.2564,-3.3801,-3.5617,-3.6422,-3.5891,-3.5477,-3.3005,-2.9432,-2.9728,-3.8151,-3.8146,-3.7165,-3.6578,-3.9173,-4.2455,-4.2787,-3.5539,-3.7105,-3.8311,-3.9934,-4.0597,-4.1701,-4.1872,-4.169,-4.165,-4.2476,-4.2078,-4.187,-4.0879,-4.0064,-3.9913,-3.8899,-3.9105,-3.9526,-3.9519,-4.0026,-3.8305,-3.551,-3.2871,-3.0143,-2.8217,-2.6499,-2.483,-2.4214,-2.5008,-2.4929,-2.5294,-2.5429,-2.6474,-2.6922,-2.8432,-2.881,-2.9665,-3.0948,-3.2386,-3.2792,-3.4558,-3.6657,-4.0348,-4.4954,-4.6908,-4.7581,-4.8454,-4.8705,-4.7457
California,all_day_ratio_single_tile_users,10.7252,9.1891,8.4445,8.1131,7.9304,7.8102,8.1256,8.1881,8.2281,8.3695,8.446,8.5059,8.5774,8.784,9.1733,9.6359,10.2388,11.0265,11.7755,12.5561,13.3158,14.0398,14.705,15.3031,15.7069,16.0944,16.3483,16.5747,16.7096,16.679,16.5313,16.3249,16.2461,16.0674,16.0838,16.3966,16.5909,16.6983,16.9182,17.1292,17.3547,17.135,16.7502,16.466,16.3128,16.0959,15.8845,15.7795,15.7364,15.5626,15.5602,15.4746,15.4374,15.3416,15.2517,15.1174,15.0186,14.9035,14.8444,14.7857,14.6781,14.4653,14.3276,14.1202,13.9221,13.7749,13.6418,13.5766,13.5846,13.4285,13.2445,13.3222,13.4023,13.433,13.445,13.3841,13.4073,13.6705,13.7226,13.6512,13.5449,13.4056,13.3523,13.221,12.8941,12.9904,12.8733,12.8561,12.8432,12.7951,12.9022,12.9396,12.5581,12.4864,12.3724,12.2744,12.2021,12.0096,11.9143,11.8798,11.8332,11.7941,11.7545,11.7511,11.7187,11.6093,11.579,11.5352,11.4914,11.4514,11.3978,11.3217,11.1959,11.186,11.2142,11.2295,11.2633,11.2853,11.3519,11.4856,11.4854,11.4544,11.3848,11.2956,11.3179,11.3936,11.3602,11.3772,11.3892,11.4608,11.5672,11.5835,11.5316,11.6313,11.6462,11.6813,11.7268,11.747,11.7846,11.8243,11.8482,11.8933,11.9264,11.9308,11.9245,11.9046,11.9029,11.8986,11.9064,11.9192,11.9098,11.904,11.8446,11.7681,11.6874,11.5729,11.4756,11.4096,11.3606,11.3425,11.3418,11.3317,11.3567,11.3825,11.4144,11.4303,11.4793,11.5602,11.6434,11.694,11.7502,11.7994,11.8527,11.8829,11.8794,11.9006,11.9318,11.9335,11.9203,11.8969,11.8552
