region,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25
"Cullman, Alabama",0.0,1.3557436,1.3413628,1.3644616000000003,1.1832181,1.1618493,1.1572051,1.0630441000000002,1.1701028999999998,1.0681614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4281346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3536378999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dale, Alabama",0.0,0.0,0.7398278,0.8477302,0.9533348,0.9297622999999999,0.9221617,0.9642497,0.9551779,1.3148286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7829978,0.9259259,0.8116883,0.7042254,0.3508772,0.3759398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6346381999999999,0.5252525,0.5009634,0.4868914000000001,0.4022989,0.3458213,0.34482759999999996,0.6060606,0.5665722,0.7857143,0.8487654,0.8540373,0.5351682,0.5752212,0.2878788,0.31666669999999997,0.0689655,0.0673401,0.0689655,0.1584507,0.35971220000000004,0.0,0.0,0.0,0.0,0.5995204000000001,0.5807201,0.3931925,0.458613,0.3550974,0.2508961,0.25925929999999997,0.0,0.0,0.0,0.0,0.0,0.0
"Dallas, Alabama",0.0,0.0,0.0,0.30581040000000004,0.2604167,0.25839789999999996,0.2544529,0.25062660000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"DeKalb, Alabama",0.0,1.2962733999999998,0.9034795,0.8035425,0.9389693000000001,0.9199705,0.9138072,0.6325123,0.8917947,1.1675824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Elmore, Alabama",0.0,0.0,0.8093836999999999,1.2785471000000002,1.113472,1.0872989,1.0780839,1.113472,1.2389647,0.8198481,0.17777779999999999,0.2083333,0.20356229999999997,0.1891253,0.2083333,0.1075269,0.0,0.0,0.0,0.9433961999999999,1.1445783,1.0215054000000001,0.964467,0.990566,0.6342183000000001,1.1925287,0.9686610000000001,0.7909605,0.7909605,1.2518194999999999,1.2905605,1.1796043,0.6345178000000001,0.7474227,0.7837838,0.9587814,0.4425612,0.31936129999999996,0.30476190000000003,0.26534,0.15723270000000003,0.1443001,0.4098361,0.39370079999999996,0.33003299999999997,0.37634409999999996,0.372737,0.5324814,0.8629989,1.0626398000000001,1.0416667,1.3083605,1.9435216,1.9370861000000001,1.7656766,1.3853503,0.9134614999999999,0.9661017,0.8816837,0.1957494,0.5208332999999999,0.6991050999999999,0.7208766,0.7183908,1.0409357,1.2884161,1.2884161,0.9575758,0.7701564000000001,0.9035409,0.9238451999999999,0.8739075999999999,0.5128205,0.9114583,0.9333333,0.9641873,0.8733624,1.3392857,0.913242,0.896861,0.47846890000000003
"Escambia, Alabama",0.0,0.0,0.0,0.0,0.4819277,0.47058820000000007,0.4571429,0.47904189999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Etowah, Alabama",0.0,1.0266038,0.9839621,0.9097666999999999,1.0194243,1.0032785,0.9895646999999999,1.2456457,1.0976926000000002,1.3810703000000002,1.8115941999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2083333,0.0,0.0,0.0,2.2357723999999997,2.3109243999999998,2.1317828999999997,1.984127,1.2295082,1.4435696000000002,1.4905149,0.0,0.0,0.0,0.0,0.0,0.0
"Franklin, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Geneva, Alabama",0.0,0.0,0.0,0.0,0.0,1.3420611999999998,1.3386493,1.5058318000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Houston, Alabama",0.0,0.5552244000000001,0.7004788000000001,0.8900382,0.792805,0.7758531999999999,0.7725495,0.8252613999999999,0.9473099,0.9495126,1.0763889,1.2540453,1.1280932,1.0170603999999999,1.0210804,0.7537688,0.5982906,0.0,0.0,0.2873563,0.4946728,0.8434548000000001,1.1051374,1.4741276,1.4069264,1.5076753999999999,1.3559322,1.2367491000000002,1.0773131,0.877193,0.85639,0.7986111,0.7440475999999999,0.764526,0.7680491999999999,0.5747126,0.456621,0.0,0.0,0.0,0.1550388,0.5243445999999999,0.5323194,0.6235012,0.6769684,0.8768193000000001,0.8796296,0.7562724000000001,0.4136752,0.40132670000000004,0.29651350000000004,0.2083333,0.22658609999999998,0.38699690000000003,0.3858025,0.39556959999999997,0.46325879999999997,0.49488050000000006,0.5141844,0.3690476,0.182025,0.1918465,0.1939394,0.12531330000000002,0.12484389999999998,0.1212121,0.12165450000000001,0.3717472,0.3731343,0.36764709999999995,0.37037040000000004,0.7867133000000001,0.8302583,0.9,0.8716876,0.8865248,0.9342302,1.8645358,1.4382403,1.4096186000000002,1.3488372
"Jackson, Alabama",0.0,0.0,0.6210359000000001,0.443229,0.3927139,0.38423809999999997,0.3787879,0.0909091,0.0,0.5360623999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1450382,1.7605634,1.7123288,1.7361111,1.6556291,1.8382353,1.8939394,1.5151515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7575758,0.6802720999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.34482759999999996,0.9933774999999999,0.955414,0.8928571,0.9202454,0.9803921999999998,1.0,0.6493505999999999,0.0,0.0,0.6896551999999999,0.7092199,0.7194245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7901235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Jefferson, Alabama",1.4132586,0.8963235,0.7307541,0.7050211,0.6785432,0.6560396,0.6499193,0.5436755,0.5538348000000001,0.598518,0.5360998,0.5667281,0.6085865,0.6328789,0.679715,0.22768670000000002,0.13698629999999998,0.13661199999999998,0.47146400000000005,0.6636156,0.5426356999999999,0.5238095,0.4718714,0.5944746999999999,0.6281683000000001,0.4488722,0.6071116999999999,0.6161291999999999,0.8360671000000001,0.8851540999999999,0.7488739000000001,0.7113463000000001,0.6982871999999999,0.3194444,0.4621849,0.1501502,0.15255529999999998,0.1579779,0.15117160000000002,0.1297017,0.12014580000000001,0.08851410000000001,0.15307579999999998,0.14915899999999999,0.2077205,0.2748333,0.2725723,0.3789821,0.3051682,0.5366715,0.5396039,0.49027790000000004,0.427559,0.4898913,0.3816182,0.5256101,0.2360859,0.2221391,0.2365185,0.40470609999999996,0.33518909999999996,0.3528469,0.1796934,0.176246,0.267834,0.38754829999999996,0.2669034,0.2641655,0.38525290000000006,0.4368237,0.5365512,0.4386170999999999,0.3955053,0.3516284,0.4800754,0.3983053,0.3577155,0.26299959999999994,0.4246205,0.346137,0.340798
"Lauderdale, Alabama",0.0,0.3323282,0.20860570000000003,1.2826583999999999,1.180967,1.1636687,1.1552082000000001,1.091825,1.7151842000000002,2.6666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9920635,1.6917293000000002,0.0,0.0,2.2435897000000002,2.2609819,2.2786458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42372879999999996,0.0,0.0,1.1692177,0.0,0.0,0.0,0.0
"Lawrence, Alabama",0.0,0.0,0.0,0.33280490000000007,0.4289263,0.4253903,0.42306520000000003,0.4514416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lee, Alabama",0.0,0.9907781999999999,0.6520106,1.0149096,0.9703190999999999,0.9394316999999999,0.9316949000000001,0.6637013,0.8680730999999999,1.1223392,0.5645161,0.4886364,0.4976852,0.7541321999999999,0.6904762,0.5757576,0.6129031999999999,0.4573170999999999,0.5617978,0.5076142,0.1231527,0.11792449999999999,0.1077586,0.1020408,0.36821709999999996,0.2766798,0.2755906,0.2845528,0.2788845,0.2811245,0.29661020000000005,0.0,0.0,0.5025126,0.5291005,0.5405405,0.5586591999999999,0.5494505000000001,0.5681818000000001,0.6127451,0.11737089999999999,0.10869569999999999,0.10504200000000001,0.1882845,0.16853929999999998,0.1567944,0.0692042,0.2447552,0.2527076,0.2517986,0.17667839999999999,0.1845018,0.18939389999999998,0.1901141,0.1262626,0.1203369,0.12345679999999999,0.12391569999999999,0.12722650000000002,0.9370816999999999,0.9722221999999999,0.896861,0.8510638,0.8130081,0.8782201,0.8210181000000001,0.0519481,0.050125300000000005,0.38480040000000004,0.5704365,0.5805149000000001,0.7344633,0.9291521,0.942285,0.976801,0.6127451,0.45045050000000003,0.46666670000000005,0.2978723,0.0892857,0.09433960000000001
"Limestone, Alabama",0.0,0.7236435999999999,0.8950486999999999,0.6629377,0.5949635999999999,0.5778717,0.5723906,0.5786685,0.6031383000000001,0.3206699,0.6324111,0.9545455,0.9589040999999999,0.8641975000000001,0.7174888,0.7936508000000001,0.9883721,0.6629834,0.3589744,0.4516807,0.6884058000000001,0.9194341999999999,0.7986111,1.0128205,0.8920505999999999,0.8639545,0.7840501999999999,0.8713136999999999,0.6596306,0.7365439,0.43243240000000005,0.48484849999999996,0.5442176999999999,0.5818182,0.23166020000000004,0.6694561,0.4255319,0.4807692,0.45248869999999997,0.3571429,0.3355705,0.6024096,0.42492920000000006,0.9722221999999999,0.8495146,0.8353222,1.0113269,1.0137875,0.7818930000000001,0.6568144,0.2838605,0.3022453,0.2961083,0.1315789,0.12376240000000001,0.1240695,0.1295337,0.0,0.0,0.0,0.2624672,0.2890173,0.295858,0.286533,0.358209,0.6395349,0.6470588,0.3560831,0.3529412,0.47619049999999996,0.4722222,0.41322309999999995,0.4039705,0.4131255999999999,0.4251701,0.5145582000000001,0.42759189999999997,0.6446828,0.6637688,0.4388585,0.5530754
"Madison, Alabama",0.7408511999999999,0.4842041,0.717896,0.6363392,0.6395966,0.6293268,0.6250806,0.5669455,0.6742566999999999,0.4260209,0.4307781,0.3740352,0.353546,0.34781799999999996,0.36537159999999996,0.24167399999999997,0.25310229999999995,0.1827415,0.2008139,0.6119756,0.6746876,0.6340159000000001,0.6766339,0.8190055,0.7442776,0.6834925999999999,0.402622,0.4005445,0.5328366,0.5763557,0.4102924,0.5655045999999999,0.6372518,0.6481673000000001,0.5778544,0.5192329000000001,0.4438647,0.5107605,0.3945322,0.330041,0.3051937,0.3925889,0.2861857,0.222419,0.1697878,0.14012950000000002,0.22331669999999998,0.2245842,0.1128807,0.1136366,0.0833601,0.17484,0.1767084,0.09036849999999999,0.13480229999999999,0.135283,0.13623,0.1815838,0.139704,0.22952350000000002,0.3204805,0.2923785,0.34674,0.35651059999999996,0.4358996,0.3779984,0.34020009999999995,0.23236030000000002,0.2897798,0.4213800999999999,0.4082091,0.3443016,0.3408737,0.291658,0.30802140000000006,0.30003470000000004,0.22169770000000003,0.23323539999999998,0.177232,0.2559854,0.323511
"Marion, Alabama",0.0,0.0,0.0,0.18621970000000002,0.1666667,0.1618123,0.1602564,0.47863249999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Marshall, Alabama",0.0,1.5754647,1.611049,1.7131267,1.6355732,1.7888271,1.7668223,1.6269676000000002,2.4033021,2.5444332999999997,2.5949089,2.9201681,2.3457312000000003,2.1545031000000003,1.3595378999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2314815,0.2283105,0.6578946999999999,1.1261261,1.2765957,1.2658228,1.2820513,1.5283843000000001,1.7156863000000002,1.2953368,0.8241758,0.5524861999999999,0.6097561,0.6329114,0.2070393,0.177305,0.2680067,0.48973140000000004,0.5090312,0.7822711999999999,0.7422481,0.5686937,0.7188438,0.6373668,0.41473770000000004,0.3911936,0.13888889999999998,0.33738190000000007,0.34722220000000004,0.2202643,0.22624429999999998,0.47826090000000004,0.5022831,0.5,0.7619048,1.2440191,1.6513761000000002,1.6981131999999999,1.5962441,1.5813953,1.559633,1.3615023000000002,0.964467,0.44334979999999996,0.5683564,0.4065041,0.4065041,0.4145937,0.16750420000000002,0.154321,0.1536098,0.0,0.0,0.0,0.2439024,0.7642276,1.0490694
