region,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25
"Autauga, Alabama",0.0,0.0,0.0,0.1092896,0.0974659,0.0960615,0.094697,0.0971817,0.10548519999999999,0.1333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21645019999999998,1.0290828,1.2043011000000001,1.2612613000000001,1.2785388,1.2873563000000001,1.2873563000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39215690000000003,0.0,0.0,0.0,0.0,0.0,0.2232143,0.22123890000000002,0.22123890000000002,0.2314815,0.6188119000000001,0.5681818000000001,0.5605380999999999,0.8027523,0.817757,0.8293839,0.8254716999999999,0.47393359999999995,0.5102041,0.7207207,0.7246376999999999,0.7285974000000001,0.7490637,0.7532956999999999,0.7532956999999999,1.8943534,2.2222222,1.7368421000000003,1.65,1.6176471000000001,1.6176471000000001,1.6751269,0.5952381,0.0881834,0.5376344,0.5988024000000001,0.6622517,0.7462687,0.7142857,0.0,0.729927,0.0
"Baldwin, Alabama",0.0,0.5014455,0.5969542,0.6229796999999999,0.5945623000000001,0.674269,0.6683908000000001,0.7152283,0.8889316999999999,0.8463405999999999,1.0642633999999997,1.2869198,1.0833333,1.0448859000000001,1.2004662,1.1069958999999998,1.1124896999999998,0.8190708999999999,0.6581986,0.5462185,0.44088180000000005,0.40515650000000003,0.20698270000000002,0.5150511999999999,0.6240833,0.6651292,0.705719,0.7729204000000001,0.6105849,0.8329349,0.8832975000000001,0.8271605,0.9533608,1.2787356,1.2435614,1.3131313,1.0458992,0.6127451,0.5012531,0.47204070000000004,0.13633270000000003,0.12650219999999998,0.2043533,0.3825861,0.3446724,0.33251640000000005,0.23206880000000002,0.4448114,0.5972221999999999,0.7240612,0.5933789,0.5967634,0.6267664000000001,0.6230732,0.4697239,0.4293595,0.23311329999999997,0.1936592,0.20627060000000003,0.2621413,0.3237613,0.6253635999999999,0.5682484,0.5642815999999999,0.5900243000000001,0.5784138000000001,0.4907241,0.4255319,0.06932410000000001,0.0,0.0,0.0,0.0,0.2452076,0.3393192,0.6876084,0.7125434,0.7422949999999999,0.8101822,0.988456,0.8716876
"Blount, Alabama",0.0,0.0,1.1581059999999999,0.9169446,0.9831551,0.9657466999999998,0.9606437,0.6906709,1.1086313,1.2399197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Calhoun, Alabama",0.0,0.9745279,0.9074408000000002,0.82715,0.8386746999999999,0.8232748,0.8157849,1.0453991,0.9646135,1.4220406,1.8888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6561680000000001,0.6127451,0.5868545000000001,0.5747126,0.6038647,0.39370079999999996,0.41322309999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857143,0.27586209999999994,1.0294118,0.9929078000000001,1.0294118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5420054,0.5089059,0.5050505,0.0,0.0,0.0,0.0,0.0,0.0
"Chambers, Alabama",0.0,0.0,0.0,1.6250196000000001,1.6336776000000002,1.6094389999999998,1.5952381000000002,1.3244938999999998,1.0162601999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cherokee, Alabama",0.0,0.0,0.0,0.0,0.6538931,0.6430613000000001,0.6364717,0.8849412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Chilton, Alabama",0.0,0.0,0.7462687,0.5836576,0.5376344,0.5319149000000001,0.5263158,0.3649635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Coffee, Alabama",0.0,0.0,0.789809,0.9888546999999999,1.0869742,1.0530545,1.0437485999999998,1.0678011,1.1407208,1.5250545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21645019999999998,0.4081633,0.39682540000000005,0.43290039999999996,0.42372879999999996,0.4545455,0.5376344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3488372,0.420354,0.32503459999999995,0.32638890000000004,0.18518520000000002,0.5027322,0.48988290000000007,0.3821656,0.6329114,0.9740260000000001,1.2383901000000002,1.3289037000000001,1.0067114,1.0600707,1.0676157,0.7246376999999999,0.45126350000000004,0.0915751,0.09727630000000001,0.10040160000000001,0.102459,0.193133,0.29661020000000005,0.5020920999999999,0.5429864000000001,0.6637807,0.6784661,0.6469760999999999,0.5398111,0.5532503000000001,0.3333333,0.5153949000000001,0.3893443,0.3893443,0.4112554,0.0,0.0,0.0,0.0,0.0,0.0
"Colbert, Alabama",0.0,0.0,0.08481219999999999,0.4270701,0.5028916,0.4937437,0.4911907999999999,0.5123848,0.6785714,0.8854167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Covington, Alabama",0.0,0.0,0.0,1.3522013000000002,1.1878453000000002,1.1559139999999999,1.1375661,1.2146893,1.25,0.8474575999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.173913,2.3611111,1.8970189999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
