Colorado,5695564
Adams County,511868
Alamosa County,16683
Arapahoe County,651215
Archuleta County,13765
Baca County,3585
Bent County,5882
Boulder County,326078
Broomfield County,69267
Chaffee County,20027
Cheyenne County,1876
Clear Creek County,9605
Conejos County,8200
Costilla County,3828
Crowley County,5858
Custer County,4954
Delta County,30953
Denver County,716492
Dolores County,2074
Douglas County,342776
Eagle County,54993
Elbert County,26282
El Paso County,713856
Fremont County,48021
Garfield County,59770
Gilpin County,6121
Grand County,15525
Gunnison County,17246
Hinsdale County,811
Huerfano County,6889
Jackson County,1399
Jefferson County,580233
Kiowa County,1383
Kit Carson County,7163
Lake County,7824
La Plata County,56310
Larimer County,350518
Las Animas County,14503
Lincoln County,5610
Logan County,21528
Mesa County,153207
Mineral County,776
Moffat County,13188
Montezuma County,26158
Montrose County,42214
Morgan County,28558
Otero County,18432
Ouray County,4833
Park County,18556
Phillips County,4286
Pitkin County,17950
Prowers County,12164
Pueblo County,167529
Rio Blanco County,6336
Rio Grande County,11250
Routt County,25733
Saguache County,6843
San Juan County,762
San Miguel County,8191
Sedgwick County,2303
Summit County,31007
Teller County,25083
Washington County,4909
Weld County,314305
Yuma County,10020
