New York,19542209
Albany County,307117
Allegany County,46430
Bronx County,1432132
Broome County,191659
Cattaraugus County,76840
Cayuga County,77145
Chautauqua County,127939
Chemung County,84254
Chenango County,47536
Clinton County,80695
Columbia County,59916
Cortland County,47823
Delaware County,44527
Dutchess County,293718
Erie County,919719
Essex County,37300
Franklin County,50293
Fulton County,53591
Genesee County,57511
Greene County,47491
Hamilton County,4434
Herkimer County,61833
Jefferson County,111755
Kings County,2582830
Lewis County,26447
Livingston County,63227
Madison County,70795
Monroe County,742474
Montgomery County,49455
Nassau County,1358343
New York County,1628701
Niagara County,210433
Oneida County,229577
Onondaga County,461809
Ontario County,109864
Orange County,381951
Orleans County,40612
Oswego County,117898
Otsego County,59749
Putnam County,98892
Queens County,2278906
Rensselaer County,159442
Richmond County,476179
Rockland County,325695
St. Lawrence County,108047
Saratoga County,230163
Schenectady County,155350
Schoharie County,31097
Schuyler County,17912
Seneca County,34300
Steuben County,95796
Suffolk County,1481093
Sullivan County,75498
Tioga County,48560
Tompkins County,102793
Ulster County,178599
Warren County,64265
Washington County,61197
Wayne County,90064
Westchester County,967612
Wyoming County,40085
Yates County,24841
