West Virginia,1805832
Barbour County,16535
Berkeley County,117123
Boone County,21951
Braxton County,14089
Brooke County,22203
Cabell County,93224
Calhoun County,7254
Clay County,8632
Doddridge County,8406
Fayette County,43018
Gilmer County,8026
Grant County,11626
Greenbrier County,34786
Hampshire County,23347
Hancock County,29094
Hardy County,13775
Harrison County,67554
Jackson County,28706
Jefferson County,56811
Kanawha County,180454
Lewis County,16024
Lincoln County,20599
Logan County,32607
McDowell County,18223
Marion County,56097
Marshall County,30785
Mason County,26718
Mercer County,59131
Mineral County,26940
Mingo County,23785
Monongalia County,106420
Monroe County,13280
Morgan County,17787
Nicholas County,24842
Ohio County,41755
Pendleton County,6997
Pleasants County,7507
Pocahontas County,8414
Preston County,33839
Putnam County,56682
Raleigh County,74254
Randolph County,28823
Ritchie County,9721
Roane County,13932
Summers County,12760
Taylor County,16862
Tucker County,6955
Tyler County,8746
Upshur County,24415
Wayne County,39944
Webster County,8285
Wetzel County,15270
Wirt County,5830
Wood County,84203
Wyoming County,20786
