Florida,21299325
Alachua County,269956
Baker County,28355
Bay County,185287
Bradford County,27732
Brevard County,596849
Broward County,1951260
Calhoun County,14587
Charlotte County,184998
Citrus County,147929
Clay County,216072
Collier County,378488
Columbia County,70503
DeSoto County,37489
Dixie County,16700
Duval County,950181
Escambia County,315534
Flagler County,112067
Franklin County,11736
Gadsden County,45894
Gilchrist County,18256
Glades County,13724
Gulf County,16164
Hamilton County,14310
Hardee County,27245
Hendry County,41556
Hernando County,190865
Highlands County,105424
Hillsborough County,1436888
Holmes County,19477
Indian River County,157413
Jackson County,48305
Jefferson County,14288
Lafayette County,8732
Lake County,356495
Lee County,754610
Leon County,292502
Levy County,40770
Liberty County,8457
Madison County,18529
Manatee County,394855
Marion County,359977
Martin County,160912
Miami-Dade County,2761581
Monroe County,75027
Nassau County,85832
Okaloosa County,207269
Okeechobee County,41537
Orange County,1380645
Osceola County,367990
Palm Beach County,1485941
Pasco County,539630
Pinellas County,975280
Polk County,708009
Putnam County,74163
St. Johns County,254261
St. Lucie County,321128
Santa Rosa County,179349
Sarasota County,426718
Seminole County,467832
Sumter County,128754
Suwannee County,44191
Taylor County,21623
Union County,14940
Volusia County,547538
Wakulla County,32461
Walton County,71375
Washington County,24880
