Missouri,6126452
Adair County,25339
Andrew County,17607
Atchison County,5171
Audrain County,25473
Barry County,35886
Barton County,11798
Bates County,16320
Benton County,19278
Bollinger County,12169
Boone County,180005
Buchanan County,88571
Butler County,42639
Caldwell County,9108
Callaway County,44889
Camden County,45815
Cape Girardeau County,78753
Carroll County,8743
Carter County,6054
Cass County,104954
Cedar County,14165
Chariton County,7451
Christian County,86983
Clark County,6842
Clay County,246365
Clinton County,20470
Cole County,76796
Cooper County,17603
Crawford County,23957
Dade County,7569
Dallas County,16762
Daviess County,8313
DeKalb County,12630
Dent County,15441
Douglas County,13373
Dunklin County,29423
Franklin County,103670
Gasconade County,14705
Gentry County,6628
Greene County,291923
Grundy County,9914
Harrison County,8414
Henry County,21792
Hickory County,9509
Holt County,4404
Howard County,10137
Howell County,40076
Iron County,10177
Jackson County,700307
Jasper County,120636
Jefferson County,224347
Johnson County,53652
Knox County,3947
Laclede County,35713
Lafayette County,32598
Lawrence County,38359
Lewis County,9855
Lincoln County,57686
Linn County,12037
Livingston County,15146
McDonald County,23078
Macon County,15153
Madison County,12188
Maries County,8769
Marion County,28592
Mercer County,3641
Miller County,25336
Mississippi County,13336
Moniteau County,16121
Monroe County,8664
Montgomery County,11534
Morgan County,20358
New Madrid County,17296
Newton County,58266
Nodaway County,22304
Oregon County,10541
Osage County,13714
Ozark County,9017
Pemiscot County,16272
Perry County,19150
Pettis County,42542
Phelps County,44732
Pike County,18504
Platte County,102985
Polk County,32201
Pulaski County,52014
Putnam County,4757
Ralls County,10212
Randolph County,24763
Ray County,22883
Reynolds County,6254
Ripley County,13401
St. Charles County,399182
St. Clair County,9395
Ste. Genevieve County,17888
St. Francois County,66692
St. Louis County,996945
Saline County,22895
Schuyler County,4599
Scotland County,4966
Scott County,38458
Shannon County,8189
Shelby County,6050
Stoddard County,29206
Stone County,31749
Sullivan County,6221
Taney County,55852
Texas County,25571
Vernon County,20528
Warren County,34711
Washington County,24943
Wayne County,13122
Webster County,39109
Worth County,2040
Wright County,18378
St. Louis city,302838
