South Dakota,882235
Aurora County,2801
Beadle County,18883
Bennett County,3468
Bon Homme County,6980
Brookings County,35232
Brown County,39316
Brule County,5229
Buffalo County,2036
Butte County,10222
Campbell County,1377
Charles Mix County,9338
Clark County,3739
Clay County,14041
Codington County,28015
Corson County,4165
Custer County,8726
Davison County,19790
Day County,5505
Deuel County,4337
Dewey County,5904
Douglas County,2935
Edmunds County,3875
Fall River County,6758
Faulk County,2330
Grant County,7147
Gregory County,4212
Haakon County,1918
Hamlin County,6111
Hand County,3262
Hanson County,3376
Harding County,1249
Hughes County,17650
Hutchinson County,7380
Hyde County,1282
Jackson County,3307
Jerauld County,2043
Jones County,928
Kingsbury County,4919
Lake County,13057
Lawrence County,25741
Lincoln County,58807
Lyman County,3821
McCook County,5546
McPherson County,2407
Marshall County,5112
Meade County,28294
Mellette County,2042
Miner County,2213
Minnehaha County,192876
Moody County,6579
Oglala Lakota County,14309
Pennington County,111729
Perkins County,2922
Potter County,2207
Roberts County,10447
Sanborn County,2429
Spink County,6495
Stanley County,3022
Sully County,1392
Todd County,10283
Tripp County,5478
Turner County,8424
Union County,15619
Walworth County,5587
Yankton County,22869
Ziebach County,2742
