Virginia,8517685
Accomack County,32412
Albemarle County,108718
Alleghany County,14910
Amelia County,13013
Amherst County,31666
Appomattox County,15841
Arlington County,237521
Augusta County,75457
Bath County,4292
Bedford County,78747
Bland County,6293
Botetourt County,33277
Brunswick County,16384
Buchanan County,21221
Buckingham County,16999
Campbell County,54973
Caroline County,30772
Carroll County,29636
Charles City County,6941
Charlotte County,11938
Chesterfield County,348556
Clarke County,14523
Craig County,5064
Culpeper County,51859
Cumberland County,9809
Dickenson County,14523
Dinwiddie County,28529
Essex County,10919
Fairfax County,1150795
Fauquier County,70675
Floyd County,15795
Fluvanna County,26783
Franklin County,56195
Frederick County,88355
Giles County,16844
Gloucester County,37349
Goochland County,23244
Grayson County,15631
Greene County,19779
Greensville County,11627
Halifax County,34120
Hanover County,107239
Henrico County,329261
Henry County,50953
Highland County,2210
Isle of Wight County,36953
James City County,76397
King and Queen County,7042
King George County,26575
King William County,16939
Lancaster County,10783
Lee County,23541
Loudoun County,406850
Louisa County,36778
Lunenburg County,12086
Madison County,13295
Mathews County,8802
Mecklenburg County,30650
Middlesex County,10769
Montgomery County,98985
Nelson County,14836
New Kent County,22391
Northampton County,11735
Northumberland County,12147
Nottoway County,15420
Orange County,36644
Page County,23933
Patrick County,17673
Pittsylvania County,60949
Powhatan County,29189
Prince Edward County,22950
Prince George County,38082
Prince William County,468011
Pulaski County,34066
Rappahannock County,7252
Richmond County,9038
Roanoke County,94073
Rockbridge County,22752
Rockingham County,81244
Russell County,26748
Scott County,21534
Shenandoah County,43497
Smyth County,30472
Southampton County,17586
Spotsylvania County,134238
Stafford County,149960
Surry County,6474
Sussex County,11237
Tazewell County,40855
Warren County,40003
Washington County,54402
Westmoreland County,17830
Wise County,38012
Wythe County,28754
York County,67846
Alexandria city,160530
Bristol city,16482
Buena Vista city,6237
Charlottesville city,48117
Chesapeake city,242634
Colonial Heights city,17833
Covington city,5460
Danville city,40693
Emporia city,5121
Fairfax city,24574
Falls Church city,14772
Franklin city,8013
Fredericksburg city,29144
Galax city,6423
Hampton city,134313
Harrisonburg city,54033
Hopewell city,22596
Lexington city,7136
Lynchburg city,82126
Manassas city,41641
Manassas Park city,17307
Martinsville city,12902
Newport News city,178626
Norfolk city,244076
Norton city,3968
Petersburg city,31567
Poquoson city,12190
Portsmouth city,94632
Radford city,18339
Richmond city,228783
Roanoke city,99920
Salem city,25643
Staunton city,24922
Suffolk city,91185
Virginia Beach city,450189
Waynesboro city,22628
Williamsburg city,14896
Winchester city,28108
