county,counts,deaths
Unknown,4866,4
Bergen,4099,120
Essex,2617,99
Hudson,2270,44
Union,2010,34
Middlesex,1766,48
Passaic,1750,22
Monmouth,1458,38
Ocean,1371,38
Morris,1082,40
Somerset,549,17
Mercer,386,4
Camden,343,6
Burlington,294,8
Sussex,179,7
Gloucester,169,2
Hunterdon,130,0
Warren,116,3
Atlantic,50,1
Cape May,34,0
Cumberland,31,1
Salem,20,1
