,Date,Start day,Atlantic,Bergen,Burlington,Camden,Cape May,Cumberland,Essex,Gloucester,Hudson,Hunterdon,Mercer,Middlesex,Monmouth,Morris,Ocean,Passaic,Salem,Somerset,Sussex,Union,Warren,Unknown
0,3/4/2020,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3/5/2020,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3/6/2020,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3/7/2020,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3/8/2020,5,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
5,3/9/2020,6,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4
6,3/10/2020,7,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,5
7,3/11/2020,8,0,11,2,1,0,0,1,0,1,0,0,2,4,0,0,1,0,0,0,0,0,0
8,3/12/2020,9,0,13,2,1,0,0,1,0,1,0,0,2,5,1,0,1,0,1,0,1,0,0
9,3/13/2020,10,0,17,2,1,0,0,6,0,3,0,0,4,7,3,1,1,0,1,0,1,0,3
10,3/14/2020,11,0,25,3,2,0,0,7,0,5,0,1,10,8,3,1,2,0,1,0,1,0,0
11,3/15/2020,12,0,29,3,2,0,0,11,0,11,0,1,12,12,4,2,3,0,1,0,4,0,3
12,3/16/2020,13,0,61,5,3,0,0,20,0,19,1,6,17,14,6,3,8,0,5,0,8,0,2
13,3/17/2020,14,0,84,5,3,0,0,32,2,24,4,9,22,22,7,4,10,0,7,0,15,0,17
14,3/18/2020,15,3,113,10,8,0,0,45,2,34,6,15,40,32,19,8,18,0,16,0,26,0,32
15,3/19/2020,16,3,195,14,13,1,0,63,3,55,8,20,64,43,26,33,38,0,21,2,29,3,108
16,3/20/2020,17,3,236,16,10,1,1,69,3,63,10,21,72,51,33,46,46,0,27,3,41,3,135
17,3/21/2020,18,4,359,21,15,2,1,106,6,96,14,31,115,90,64,62,67,0,34,6,81,5,148
18,3/22/2020,19,4,453,26,22,2,1,171,8,124,16,40,146,156,119,101,95,1,51,10,123,9,236
19,3/23/2020,20,5,618,37,34,2,1,277,13,193,19,51,214,243,179,146,143,1,68,15,192,12,381
20,3/24/2020,21,6,701,42,51,3,2,342,19,234,25,58,277,288,204,180,216,1,102,18,246,15,595
21,3/25/2020,22,9,819,48,61,4,3,381,23,260,25,82,316,313,223,222,255,1,117,27,262,18,933
22,3/26/2020,23,10,1206,64,73,6,4,609,33,441,39,111,505,501,315,389,399,2,179,49,432,31,1478
23,3/27/2020,24,14,1505,88,95,7,9,826,40,594,52,131,640,634,391,484,484,3,222,65,519,38,1984
24,3/28/2020,25,17,1838,115,123,7,11,1086,51,771,61,168,808,781,442,624,608,3,258,81,742,51,2478
25,3/29/2020,26,24,2169,142,163,9,11,1227,72,974,66,202,938,870,556,759,831,3,295,93,896,56,3020
26,3/30/2020,27,29,2482,178,200,9,12,1564,89,1314,79,249,1123,1030,720,874,1091,3,349,113,1213,68,3847
27,3/31/2020,28,31,2909,202,228,12,18,1900,114,1606,97,268,1277,1140,841,1022,1294,12,413,132,1418,76,3686
28,4/1/2020,29,40,3494,255,289,22,27,2262,149,1910,117,333,1493,1301,942,1209,1494,19,472,158,1661,96,4512
29,4/2/2020,30,50,4099,294,343,34,31,2617,169,2270,130,386,1766,1458,1082,1371,1750,20,549,179,2010,116,4866
30,4/3/2020,31,72,4866,367,406,44,36,3067,183,2835,148,484,2125,1743,1298,1685,2216,25,641,210,2487,149,4808
31,4/4/2020,32,98,5760,469,481,50,40,3584,215,3491,171,586,2578,2065,1618,2003,2856,25,765,236,2916,182,3935
32,4/5/2020,33,121,6187,547,556,77,54,4082,248,3924,189,654,2950,2354,1800,2177,3227,26,833,267,3216,195,3821
33,4/6/2020,34,132,6862,646,645,85,64,4493,279,4395,211,740,3263,2545,1956,2374,3756,29,902,292,3685,215,3821
34,4/7/2020,35,144,7533,733,736,94,71,5078,311,4949,234,837,3717,2770,2239,2641,4101,31,1033,331,4358,255,2220
35,4/8/2020,36,168,7874,801,838,100,80,5598,340,5437,255,992,4156,3038,2468,2856,4372,36,1189,357,4831,289,1362
36,4/9/2020,37,191,8343,883,990,109,111,6069,413,5879,286,1161,4628,3248,2645,3093,4690,43,1335,392,5203,319,996
