county,counts,death
Unknown,996,12
Bergen,8343,345
Essex,6069,312
Hudson,5879,132
Union,5203,145
Passaic,4690,82
Middlesex,4628,152
Monmouth,3248,98
Ocean,3093,119
Morris,2645,117
Somerset,1335,59
Mercer,1161,36
Camden,990,23
Burlington,883,21
Gloucester,413,8
Sussex,392,21
Warren,319,1
Hunterdon,286,4
Atlantic,191,4
Cumberland,111,3
Cape May,109,3
Salem,43,3
