county,counts,deaths
Bergen,13011,787
Essex,10729,751
Hudson,11150,492
Union,9972,387
Middlesex,8346,345
Morris,4236,269
Passaic,8479,263
Monmouth,4787,230
Ocean,4868,222
Somerset,2488,170
Mercer,2591,122
Camden,2255,81
Sussex,680,64
Burlington,1663,61
Warren,613,47
Gloucester,770,25
Atlantic,410,19
Hunterdon,419,18
Cape May,212,15
Cumberland,338,4
Salem,120,4
Unknown,660,1
