county,counts,deaths
Bergen,15974,1202
Hudson,15401,834
Essex,14248,1265
Passaic,13082,624
Union,12996,731
Middlesex,12213,618
Ocean,6692,426
Monmouth,6198,372
Morris,5406,440
Mercer,4271,252
Camden,3773,161
Somerset,3605,289
Burlington,2879,146
Gloucester,1334,50
Atlantic,1050,48
Sussex,949,114
Warren,941,84
Cumberland,809,16
Hunterdon,622,35
Cape May,337,23
Salem,261,12
Unknown,676,0
