county,counts,deaths
Unknown,4808,4
Bergen,4866,132
Essex,3067,118
Hudson,2835,59
Union,2487,45
Passaic,2216,34
Middlesex,2125,56
Monmouth,1743,48
Ocean,1685,45
Morris,1298,43
Somerset,641,23
Mercer,484,5
Camden,406,7
Burlington,367,9
Sussex,210,8
Gloucester,183,3
Warren,149,3
Hunterdon,148,0
Atlantic,72,1
Cape May,44,0
Cumberland,36,1
Salem,25,2
