county,counts
Pending,645
Bergen,701
Essex,342
Monmouth,288
Middlesex,277
Union,246
Hudson,234
Passaic,216
Morris,204
Ocean,180
Somerset,102
Mercer,58
Camden,51
Burlington,42
Hunterdon,25
Gloucester,19
Sussex,18
Warren,15
Atlantic,6
Cape May,3
Cumberland,2
Salem,1
