county,counts
Pending,1984
Bergen,1505
Essex,826
Middlesex,640
Monmouth,634
Hudson,594
Union,519
Ocean,484
Passaic,484
Morris,391
Somerset,222
Mercer,131
Camden,95
Burlington,88
Sussex,65
Hunterdon,52
Gloucester,40
Warren,38
Atlantic,14
Cumberland,9
Cape May,7
Salem,3
