county,counts,deaths
Bergen,16185,1210
Hudson,15769,845
Essex,14521,1282
Passaic,13364,632
Union,13225,738
Middlesex,12597,639
Ocean,6871,440
Monmouth,6290,382
Morris,5517,449
Mercer,4504,255
Camden,3973,163
Somerset,3703,295
Burlington,3043,149
Gloucester,1384,51
Atlantic,1075,49
Sussex,969,115
Warren,957,86
Cumberland,881,17
Hunterdon,661,37
Cape May,344,24
Salem,270,13
Unknown,641,0
