county,counts,deaths
Bergen,16282,1215
Hudson,15881,845
Essex,14621,1292
Passaic,13496,633
Union,13357,737
Middlesex,12768,642
Ocean,6974,447
Monmouth,6378,385
Morris,5549,449
Mercer,4594,256
Camden,4073,163
Somerset,3753,298
Burlington,3100,149
Gloucester,1433,51
Atlantic,1135,51
Sussex,979,116
Warren,977,87
Cumberland,940,19
Hunterdon,665,37
Cape May,355,24
Salem,312,14
Unknown,647,0
