county,counts,deaths
Bergen,15104,960
Hudson,13925,673
Essex,13047,1028
Union,12011,583
Passaic,11349,438
Middlesex,10767,455
Ocean,6024,330
Monmouth,5759,302
Morris,5030,355
Mercer,3433,194
Somerset,3204,227
Camden,3124,122
Burlington,2407,98
Gloucester,1111,33
Sussex,864,93
Warren,810,67
Atlantic,749,30
Cumberland,595,8
Hunterdon,564,23
Cape May,281,18
Salem,212,7
Unknown,818,0
