county,counts,deaths
Unknown,1203,2
Bergen,10426,550
Hudson,8242,277
Essex,8212,535
Union,7265,238
Passaic,6438,156
Middlesex,6313,216
Monmouth,4003,145
Ocean,3833,149
Morris,3424,192
Somerset,1911,91
Mercer,1731,71
Camden,1477,41
Burlington,1207,28
Gloucester,587,11
Sussex,535,39
Warren,442,25
Hunterdon,349,11
Atlantic,284,11
Cumberland,201,3
Cape May,169,10
Salem,73,4
