,Date,Start day,Atlantic,Bergen,Burlington,Camden,Cape May,Cumberland,Essex,Gloucester,Hudson,Hunterdon,Mercer,Middlesex,Monmouth,Morris,Ocean,Passaic,Salem,Somerset,Sussex,Union,Warren,Unknown
0,2020-03-04,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-05,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-06,3,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-07,4,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-08,5,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-09,6,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
6,2020-03-10,7,0.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7,2020-03-11,8,0.0,11.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
8,2020-03-12,9,0.0,13.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
9,2020-03-13,10,0.0,17.0,3.0,2.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,4.0,7.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0
10,2020-03-14,11,0.0,31.0,3.0,2.0,0.0,0.0,7.0,0.0,5.0,0.0,1.0,8.0,8.0,5.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0
11,2020-03-15,12,0.0,32.0,4.0,2.0,0.0,0.0,11.0,0.0,10.0,0.0,1.0,9.0,11.0,6.0,2.0,5.0,0.0,0.0,0.0,4.0,0.0,1.0
12,2020-03-16,13,0.0,61.0,5.0,3.0,0.0,0.0,20.0,0.0,19.0,1.0,6.0,15.0,14.0,8.0,3.0,8.0,0.0,4.0,0.0,8.0,0.0,1.0
13,2020-03-17,14,0.0,84.0,5.0,3.0,0.0,0.0,32.0,2.0,24.0,4.0,9.0,20.0,22.0,19.0,4.0,10.0,0.0,6.0,0.0,22.0,1.0,1.0
14,2020-03-18,15,3.0,133.0,10.0,10.0,0.0,0.0,45.0,2.0,34.0,6.0,15.0,40.0,32.0,19.0,16.0,18.0,0.0,15.0,0.0,26.0,2.0,1.0
15,2020-03-19,16,3.0,297.0,14.0,11.0,1.0,0.0,63.0,3.0,55.0,8.0,20.0,64.0,43.0,26.0,33.0,38.0,0.0,20.0,2.0,29.0,4.0,1.0
16,2020-03-20,17,3.0,342.0,17.0,15.0,1.0,1.0,73.0,3.0,66.0,11.0,22.0,76.0,53.0,35.0,49.0,49.0,0.0,27.0,3.0,43.0,4.0,3.0
17,2020-03-21,18,4.0,362.0,20.0,15.0,2.0,1.0,107.0,6.0,97.0,14.0,30.0,116.0,92.0,64.0,62.0,67.0,0.0,34.0,6.0,81.0,5.0,151.0
18,2020-03-22,19,5.0,457.0,26.0,22.0,2.0,1.0,172.0,8.0,126.0,16.0,40.0,147.0,158.0,119.0,102.0,95.0,1.0,51.0,12.0,124.0,9.0,221.0
