county,counts
Unknown,3686
Bergen,2909
Essex,1900
Hudson,1606
Union,1418
Passaic,1294
Middlesex,1277
Monmouth,1140
Ocean,1022
Morris,841
Somerset,413
Mercer,268
Camden,228
Burlington,202
Sussex,132
Gloucester,114
Hunterdon,97
Warren,76
Atlantic,31
Cumberland,18
Cape May,12
Salem,12
