county,counts,deaths
Bergen,16460,1261
Hudson,16099,870
Essex,14840,1319
Passaic,13797,663
Union,13503,768
Middlesex,13142,667
Ocean,7060,469
Monmouth,6490,398
Morris,5625,474
Mercer,4743,280
Camden,4251,180
Somerset,3820,306
Burlington,3207,164
Gloucester,1467,61
Atlantic,1190,51
Sussex,987,120
Cumberland,985,23
Warren,982,91
Hunterdon,679,38
Cape May,369,26
Salem,347,15
Unknown,550,0
