county,counts,deaths
Unknown,3935,14
Bergen,5760,179
Essex,3584,155
Hudson,3491,78
Union,2916,66
Passaic,2856,38
Middlesex,2578,76
Monmouth,2065,54
Ocean,2003,56
Morris,1618,51
Somerset,765,24
Mercer,586,13
Camden,481,8
Burlington,469,10
Sussex,236,9
Gloucester,215,3
Warren,182,6
Hunterdon,171,1
Atlantic,98,1
Cape May,50,0
Cumberland,40,2
Salem,25,2
