,Date,Start day,Atlantic,Bergen,Burlington,Camden,Cape May,Cumberland,Essex,Gloucester,Hudson,Hunterdon,Mercer,Middlesex,Monmouth,Morris,Ocean,Passaic,Salem,Somerset,Sussex,Union,Warren
0,3/4/2020,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3/5/2020,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3/6/2020,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3/7/2020,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3/8/2020,5,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
5,3/9/2020,6,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
6,3/10/2020,7,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
7,3/11/2020,8,0,11,2,1,0,0,1,0,1,0,0,2,4,0,0,1,0,0,0,0,0
8,3/12/2020,9,0,13,2,1,0,0,1,0,1,0,0,2,5,1,0,1,0,1,0,1,0
9,3/13/2020,10,0,17,2,1,0,0,6,0,3,0,0,4,7,3,1,1,0,1,0,1,0
10,3/14/2020,11,0,25,3,2,0,0,7,0,5,0,1,10,8,3,1,2,0,1,0,1,0
11,3/15/2020,12,0,29,3,2,0,0,11,0,11,0,1,12,12,4,2,3,0,1,0,4,0
12,3/16/2020,13,0,65,4,3,0,0,21,0,19,1,6,17,16,6,3,5,0,5,0,9,0
13,3/17/2020,14,0,91,6,4,0,0,34,2,26,4,9,24,24,9,4,9,0,8,0,16,0
14,3/18/2020,15,3,128,10,8,0,0,48,2,36,6,15,43,34,19,8,18,0,16,0,26,0
15,3/19/2020,16,3,226,16,15,1,0,73,3,64,9,23,74,50,30,38,44,0,24,2,34,3
16,3/20/2020,17,3,276,19,12,1,1,81,3,73,12,24,84,59,39,54,54,0,31,3,48,3
17,3/21/2020,18,4,402,23,17,2,1,118,7,107,16,35,128,101,71,69,75,0,38,7,90,6
18,3/22/2020,19,5,507,29,24,2,1,191,9,139,18,45,163,175,133,113,106,1,57,12,137,10
19,3/23/2020,20,6,699,42,38,2,1,313,15,218,21,58,242,274,202,165,162,1,77,17,217,14
20,3/24/2020,21,7,850,50,61,3,2,414,23,283,30,70,335,349,247,218,261,1,123,21,298,18
21,3/25/2020,22,12,1040,61,78,6,4,484,30,330,32,105,401,398,283,282,324,2,149,35,333,23
