county,counts,deaths
Unknown,1048,3
Bergen,11409,668
Hudson,9165,365
Essex,9084,642
Union,7904,301
Passaic,7317,211
Middlesex,6994,278
Monmouth,4299,190
Ocean,4272,185
Morris,3701,216
Somerset,2103,121
Mercer,2037,87
Camden,1734,60
Burlington,1326,52
Gloucester,624,18
Sussex,578,43
Warren,501,33
Hunterdon,373,15
Atlantic,344,13
Cumberland,223,3
Cape May,186,10
Salem,95,4
