county,counts,deaths
Bergen,15446,1057
Hudson,14596,758
Essex,13445,1139
Union,12380,653
Passaic,12185,516
Middlesex,11436,531
Ocean,6253,367
Monmouth,5907,317
Morris,5213,387
Mercer,3725,220
Camden,3385,136
Somerset,3372,252
Burlington,2606,117
Gloucester,1208,40
Atlantic,908,37
Sussex,900,99
Warren,880,81
Cumberland,687,10
Hunterdon,583,23
Cape May,305,21
Salem,227,9
Unknown,617,0
