county,counts,deaths
Unknown,3821,13
Bergen,6187,189
Essex,4082,172
Hudson,3924,87
Passaic,3227,42
Union,3216,71
Middlesex,2950,80
Monmouth,2354,58
Ocean,2177,62
Morris,1800,55
Somerset,833,26
Mercer,654,16
Camden,556,8
Burlington,547,11
Sussex,267,9
Gloucester,248,3
Warren,195,6
Hunterdon,189,2
Atlantic,121,1
Cape May,77,2
Cumberland,54,2
Salem,26,2
