county,counts,deaths
Bergen,13356,835
Hudson,11636,525
Essex,11128,849
Union,10289,427
Passaic,8941,294
Middlesex,8767,360
Ocean,5036,253
Monmouth,4947,244
Morris,4435,291
Mercer,2753,133
Somerset,2599,176
Camden,2379,89
Burlington,1765,66
Gloucester,808,27
Sussex,712,69
Warren,642,48
Atlantic,469,22
Hunterdon,422,19
Cumberland,360,5
Cape May,217,16
Salem,127,5
Unknown,599,0
