county,counts
Unknown,2478
Bergen,1838
Essex,1086
Middlesex,808
Monmouth,781
Hudson,771
Union,742
Ocean,624
Passaic,608
Morris,442
Somerset,258
Mercer,168
Camden,123
Burlington,115
Sussex,81
Hunterdon,61
Gloucester,51
Warren,51
Atlantic,17
Cumberland,11
Cape May,7
Salem,3
