county,counts,deaths
Unknown,1203,2
Bergen,10092,482
Hudson,7879,236
Essex,7634,433
Union,6636,217
Middlesex,5987,204
Passaic,5950,136
Monmouth,3875,127
Ocean,3593,141
Morris,3225,162
Somerset,1809,85
Mercer,1646,53
Camden,1401,35
Burlington,1155,24
Gloucester,566,9
Sussex,508,38
Warren,416,24
Hunterdon,325,11
Atlantic,267,8
Cumberland,187,3
Cape May,164,9
Salem,66,4
