county,counts
Pending,1478
Bergen,1206
Essex,609
Middlesex,505
Monmouth,501
Hudson,441
Union,432
Passaic,399
Ocean,389
Morris,315
Somerset,179
Mercer,111
Camden,73
Burlington,64
Sussex,49
Hunterdon,39
Gloucester,33
Warren,31
Atlantic,10
Cape May,6
Cumberland,4
Salem,2
