county,counts,deaths
Unknown,585,0
Bergen,12639,767
Hudson,10486,452
Essex,10304,740
Union,9609,372
Passaic,8288,250
Middlesex,8017,329
Monmouth,4669,226
Ocean,4648,217
Morris,4136,257
Mercer,2395,113
Somerset,2384,158
Camden,2131,74
Burlington,1587,58
Gloucester,737,24
Sussex,659,62
Warren,592,44
Hunterdon,407,18
Atlantic,398,19
Cumberland,308,4
Cape May,206,14
Salem,116,4
