county,counts
Unknown,3020
Bergen,2169
Essex,1227
Hudson,974
Middlesex,938
Union,896
Monmouth,870
Passaic,831
Ocean,759
Morris,556
Somerset,295
Mercer,202
Camden,163
Burlington,142
Sussex,93
Gloucester,72
Hunterdon,66
Warren,56
Atlantic,24
Cumberland,11
Cape May,9
Salem,3
