county,counts,deaths
Bergen,15610,1136
Hudson,14916,798
Essex,13682,1186
Union,12578,690
Passaic,12449,573
Middlesex,11715,571
Ocean,6375,397
Monmouth,6033,341
Morris,5287,413
Mercer,3937,231
Camden,3519,147
Somerset,3464,270
Burlington,2690,130
Gloucester,1251,46
Atlantic,964,41
Sussex,921,103
Warren,903,82
Cumberland,723,12
Hunterdon,603,29
Cape May,323,22
Salem,231,10
Unknown,478,0
