county,counts,deaths
Salem,105,4
Cape May,199,14
Cumberland,272,4
Atlantic,382,19
Hunterdon,391,17
Warren,543,39
Sussex,626,55
Gloucester,683,23
Burlington,1456,57
Camden,1918,73
Mercer,2215,110
Somerset,2283,146
Morris,3984,255
Monmouth,4528,221
Ocean,4548,212
Middlesex,7624,313
Passaic,7936,243
Union,8959,356
Essex,9901,732
Hudson,9956,434
Bergen,12163,741
Unknown,748,2
