Start day,Date,Bergen,Essex,Middlesex,Monmouth,Hudson,Union,Morris,Passaic,Somerset,Mercer,Burlington,Camden,Ocean,Hunterdon,Atlantic,Gloucester,Warren,Sussex,Cape May,Cumberland,Salem,Unknown
1,"3/4/2020",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"3/5/2020",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"3/6/2020",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"3/7/2020",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"3/8/2020",4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"3/9/2020",5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
7,"3/10/2020",7,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
8,"3/11/2020",11,1,2,4,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0
9,"3/12/2020",13,1,2,5,1,1,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0
10,"3/13/2020",17,6,4,7,3,1,3,1,1,0,2,1,1,0,0,0,0,0,0,0,0,3
11,"3/14/2020",25,7,10,8,5,1,3,2,1,1,3,2,1,0,0,0,0,0,0,0,0,0
12,"3/15/2020",29,11,12,12,11,4,4,3,1,1,3,2,2,0,0,0,0,0,0,0,0,3
13,"3/16/2020",61,20,17,14,19,8,6,8,5,6,5,3,3,1,0,0,0,0,0,0,0,2
14,"3/17/2020",84,32,22,22,24,15,7,10,7,9,5,3,4,4,0,2,0,0,0,0,0,17
15,"3/18/2020",113,45,40,32,34,26,19,18,16,15,10,8,8,6,3,2,0,0,0,0,0,32
16,"3/19/2020",195,63,64,43,55,29,26,38,21,20,14,13,33,8,3,3,3,2,1,0,0,108
17,"3/20/2020",236,69,72,51,63,41,33,46,27,21,16,10,46,10,3,3,3,3,1,1,0,135
18,"3/21/2020",359,106,115,90,96,81,64,67,34,31,21,15,62,14,4,6,5,6,2,1,0,148
19,"3/22/2020",453,171,146,156,124,123,119,95,51,40,26,22,101,16,4,8,9,10,2,1,1,236
20,"3/23/2020",618,277,214,243,193,192,179,143,68,51,37,34,146,19,5,13,12,15,2,1,1,381
21,"3/24/2020",701,342,277,288,234,246,204,216,102,58,42,51,180,25,6,19,15,18,3,2,1,595
22,"3/25/2020",819,381,316,313,260,262,223,255,117,82,48,61,222,25,9,23,18,27,4,3,1,933
23,"3/26/2020",1206,609,505,501,441,432,315,399,179,111,64,73,389,39,10,33,31,49,6,4,2,1478
24,"3/27/2020",1505,826,640,634,594,519,391,484,222,131,88,95,484,52,14,40,38,65,7,9,3,1984
