county,counts,deaths
Bergen,14965,955
Hudson,13708,661
Essex,12863,1023
Union,11853,571
Passaic,11137,426
Middlesex,10642,442
Ocean,5962,322
Monmouth,5671,291
Morris,4976,351
Mercer,3355,188
Somerset,3144,223
Camden,2983,121
Burlington,2333,94
Gloucester,976,31
Sussex,855,92
Warren,778,65
Atlantic,638,29
Hunterdon,536,23
Cumberland,520,6
Cape May,281,18
Salem,181,6
Unknown,681,0
