county,counts
Pending,933
Bergen,819
Essex,381
Middlesex,316
Monmouth,313
Union,262
Hudson,260
Passaic,255
Morris,223
Ocean,222
Somerset,117
Mercer,82
Camden,61
Burlington,48
Sussex,27
Hunterdon,25
Gloucester,23
Warren,18
Atlantic,9
Cape May,4
Cumberland,3
Salem,1
