Start day,Bergen,Essex,Middlesex,Monmouth,Hudson,Union,Morris,Passaic,Somerset,Mercer,Burlington,Camden,Ocean,Hunterdon,Atlantic,Gloucester,Warren,Sussex,Cape May,Cumberland,Salem,Date
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/4/2020
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/5/2020
3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/6/2020
4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/7/2020
5,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/8/2020
6,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/9/2020
7,7,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3/10/2020
8,11,1,2,4,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,3/11/2020
9,13,1,2,5,1,1,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,3/12/2020
10,17,6,4,7,3,1,3,1,1,0,2,1,1,0,0,0,0,0,0,0,0,3/13/2020
11,25,7,10,8,5,1,3,2,1,1,3,2,1,0,0,0,0,0,0,0,0,3/14/2020
12,29,11,12,12,11,4,4,3,1,1,3,2,2,0,0,0,0,0,0,0,0,3/15/2020
13,65,21,17,16,19,9,6,5,5,6,4,3,3,1,0,0,0,0,0,0,0,3/16/2020
14,91,34,24,24,26,16,9,9,8,9,6,4,4,4,0,2,0,0,0,0,0,3/17/2020
15,128,48,43,34,36,26,19,18,16,15,10,8,8,6,3,2,0,0,0,0,0,3/18/2020
16,226,73,74,50,64,34,30,44,24,23,16,15,38,9,3,3,3,2,1,0,0,3/19/2020
17,276,81,84,59,73,48,39,54,31,24,19,12,54,12,3,3,3,3,1,1,0,3/20/2020
18,402,118,128,101,107,90,71,75,38,35,23,17,69,16,4,7,6,7,2,1,0,3/21/2020
19,507,191,163,175,139,137,133,106,57,45,29,24,113,18,5,9,10,12,2,1,1,3/22/2020
20,699,313,242,274,218,217,202,162,77,58,42,38,165,21,6,15,14,17,2,1,1,3/23/2020
