county,counts,deaths
Bergen,14738,954
Hudson,13367,655
Essex,12520,1019
Union,11523,563
Passaic,10738,416
Middlesex,10075,431
Ocean,5811,317
Monmouth,5521,287
Morris,4821,347
Mercer,3245,183
Somerset,3030,219
Camden,2870,118
Burlington,2153,88
Gloucester,949,30
Sussex,812,91
Warren,750,63
Atlantic,596,29
Hunterdon,505,23
Cumberland,504,6
Cape May,261,18
Salem,177,6
Unknown,557,0
