county,counts
Unknown,3847
Bergen,2482
Essex,1564
Hudson,1314
Union,1213
Middlesex,1123
Passaic,1091
Monmouth,1030
Ocean,874
Morris,720
Somerset,349
Mercer,249
Camden,200
Burlington,178
Sussex,113
Gloucester,89
Hunterdon,79
Warren,68
Atlantic,29
Cumberland,12
Cape May,9
Salem,3
