county,counts,deaths
Unknown,1274,2
Bergen,9784,453
Hudson,7469,226
Essex,7410,428
Union,6180,209
Middlesex,5693,193
Passaic,5590,131
Monmouth,3785,123
Ocean,3554,138
Morris,3099,162
Somerset,1732,79
Mercer,1567,50
Camden,1270,32
Burlington,1095,23
Gloucester,532,9
Sussex,483,35
Warren,395,22
Hunterdon,314,11
Atlantic,253,8
Cumberland,165,3
Cape May,145,9
Salem,61,4
