county,counts,deaths
Bergen,13686,876
Hudson,12039,568
Essex,11387,888
Union,10484,481
Passaic,9392,327
Middlesex,9047,369
Ocean,5234,270
Monmouth,5086,251
Morris,4556,309
Mercer,2845,145
Somerset,2688,183
Camden,2528,94
Burlington,1878,68
Gloucester,856,29
Sussex,743,76
Warren,689,55
Atlantic,505,24
Hunterdon,434,21
Cumberland,382,5
Cape May,227,16
Salem,134,6
Unknown,591,2
