county,counts,deaths
Bergen,16520,1289
Hudson,16197,903
Essex,14951,1349
Passaic,13971,690
Union,13604,800
Middlesex,13254,706
Ocean,7125,483
Monmouth,6552,417
Morris,5655,491
Mercer,4860,298
Camden,4307,189
Somerset,3860,315
Burlington,3235,177
Gloucester,1499,63
Atlantic,1246,54
Cumberland,1059,25
Sussex,995,122
Warren,993,94
Hunterdon,682,39
Cape May,378,28
Salem,353,17
Unknown,594,0
