county,counts,deaths
Bergen,15251,1002
Hudson,14309,722
Essex,13190,1090
Union,12188,627
Passaic,11755,475
Middlesex,11102,515
Ocean,6151,342
Monmouth,5826,305
Morris,5128,377
Mercer,3605,212
Camden,3285,124
Somerset,3278,242
Burlington,2543,106
Gloucester,1179,38
Sussex,882,97
Atlantic,868,35
Warren,848,71
Cumberland,659,10
Hunterdon,573,24
Cape May,299,20
Salem,219,8
Unknown,718,0
