county,counts,deaths
Unknown,3821,13
Bergen,6862,200
Essex,4493,186
Hudson,4395,92
Passaic,3756,53
Union,3685,78
Middlesex,3263,87
Monmouth,2545,62
Ocean,2374,71
Morris,1956,60
Somerset,902,31
Mercer,740,19
Burlington,646,11
Camden,645,8
Sussex,292,11
Gloucester,279,3
Warren,215,7
Hunterdon,211,2
Atlantic,132,1
Cape May,85,3
Cumberland,64,2
Salem,29,2
