county,counts,deaths
Unknown,2220,5
Bergen,7533,263
Essex,5078,232
Hudson,4949,103
Union,4358,95
Passaic,4101,62
Middlesex,3717,100
Monmouth,2770,71
Ocean,2641,85
Morris,2239,87
Somerset,1033,40
Mercer,837,24
Camden,736,12
Burlington,733,13
Sussex,331,15
Gloucester,311,5
Warren,255,7
Hunterdon,234,2
Atlantic,144,4
Cape May,94,2
Cumberland,71,2
Salem,31,3
