Indiana,6691878
Adams County,35636
Allen County,375351
Bartholomew County,82753
Benton County,8653
Blackford County,11930
Boone County,66999
Brown County,15234
Carroll County,20127
Cass County,37955
Clark County,117360
Clay County,26170
Clinton County,32250
Crawford County,10558
Daviess County,33147
Dearborn County,49568
Decatur County,26794
DeKalb County,43226
Delaware County,114772
Dubois County,42565
Elkhart County,205560
Fayette County,23047
Floyd County,77781
Fountain County,16351
Franklin County,22736
Fulton County,20092
Gibson County,33452
Grant County,65936
Greene County,32006
Hamilton County,330086
Hancock County,76351
Harrison County,40350
Hendricks County,167009
Henry County,48271
Howard County,82366
Huntington County,36240
Jackson County,44111
Jasper County,33370
Jay County,20764
Jefferson County,32208
Jennings County,27611
Johnson County,156225
Knox County,36895
Kosciusko County,79344
LaGrange County,39330
Lake County,484411
LaPorte County,110007
Lawrence County,45668
Madison County,129641
Marion County,954670
Marshall County,46248
Martin County,10217
Miami County,35567
Monroe County,146917
Montgomery County,38346
Morgan County,70116
Newton County,14011
Noble County,47532
Ohio County,5844
Orange County,19489
Owen County,20845
Parke County,16927
Perry County,19102
Pike County,12410
Porter County,169594
Posey County,25540
Pulaski County,12469
Putnam County,37779
Randolph County,24851
Ripley County,28523
Rush County,16663
St. Joseph County,270771
Scott County,23878
Shelby County,44593
Spencer County,20327
Starke County,22935
Steuben County,34586
Sullivan County,20690
Switzerland County,10717
Tippecanoe County,193048
Tipton County,15128
Union County,7037
Vanderburgh County,180974
Vermillion County,15479
Vigo County,107386
Wabash County,31280
Warren County,8263
Warrick County,62567
Washington County,27943
Wayne County,65936
Wells County,28206
White County,24133
Whitley County,34074
