Utah,3161105
Beaver County,6580
Box Elder County,54950
Cache County,127068
Carbon County,20269
Daggett County,980
Davis County,351713
Duchesne County,19964
Emery County,10014
Garfield County,5080
Grand County,9764
Iron County,52775
Juab County,11555
Kane County,7709
Millard County,13006
Morgan County,12045
Piute County,1445
Rich County,2464
Salt Lake County,1152633
San Juan County,15449
Sanpete County,30623
Sevier County,21539
Summit County,41933
Tooele County,69907
Uintah County,35438
Utah County,622213
Wasatch County,33240
Washington County,171700
Wayne County,2690
Weber County,256359
