Texas,28701845
Anderson County,58057
Andrews County,18128
Angelina County,87092
Aransas County,23792
Archer County,8786
Armstrong County,1892
Atascosa County,50310
Austin County,29989
Bailey County,7027
Bandera County,22824
Bastrop County,86976
Baylor County,3582
Bee County,32587
Bell County,355642
Bexar County,1986049
Blanco County,11702
Borden County,648
Bosque County,18691
Bowie County,94324
Brazoria County,370200
Brazos County,226758
Brewster County,9267
Briscoe County,1516
Brooks County,7114
Brown County,37924
Burleson County,18389
Burnet County,47542
Caldwell County,43247
Calhoun County,21561
Callahan County,13994
Cameron County,423908
Camp County,13033
Carson County,6005
Cass County,30119
Castro County,7665
Chambers County,42454
Cherokee County,52592
Childress County,7291
Clay County,10456
Cochran County,2836
Coke County,3370
Coleman County,8397
Collin County,1005146
Collingsworth County,2962
Colorado County,21217
Comal County,148373
Comanche County,13534
Concho County,4276
Cooke County,40574
Coryell County,74808
Cottle County,1389
Crane County,4794
Crockett County,3499
Crosby County,5779
Culberson County,2204
Dallam County,7200
Dallas County,2637772
Dawson County,12619
Deaf Smith County,18760
Delta County,5349
Denton County,859064
DeWitt County,20187
Dickens County,2249
Dimmit County,10308
Donley County,3319
Duval County,11212
Eastland County,18322
Ector County,162124
Edwards County,1928
Ellis County,179436
El Paso County,840758
Erath County,42446
Falls County,17335
Fannin County,35286
Fayette County,25349
Fisher County,3839
Floyd County,5837
Foard County,1200
Fort Bend County,787858
Franklin County,10766
Freestone County,19808
Frio County,19816
Gaines County,20901
Galveston County,337890
Garza County,6578
Gillespie County,26804
Glasscock County,1388
Goliad County,7584
Gonzales County,20826
Gray County,21895
Grayson County,133991
Gregg County,123707
Grimes County,28360
Guadalupe County,163694
Hale County,33830
Hall County,3028
Hamilton County,8484
Hansford County,5463
Hardeman County,3922
Hardin County,57207
Harris County,4698619
Harrison County,66726
Hartley County,5619
Haskell County,5813
Hays County,222631
Hemphill County,3825
Henderson County,82299
Hidalgo County,865939
Hill County,36354
Hockley County,22980
Hood County,60537
Hopkins County,36810
Houston County,23169
Howard County,36459
Hudspeth County,4795
Hunt County,96493
Hutchinson County,21198
Irion County,1522
Jack County,8843
Jackson County,14874
Jasper County,35872
Jeff Davis County,2252
Jefferson County,255001
Jim Hogg County,5248
Jim Wells County,40822
Johnson County,171361
Jones County,19817
Karnes County,15650
Kaufman County,128622
Kendall County,45641
Kenedy County,442
Kent County,726
Kerr County,52405
Kimble County,4362
King County,277
Kinney County,3767
Kleberg County,31129
Knox County,3653
Lamar County,49728
Lamb County,13158
Lampasas County,21229
La Salle County,7531
Lavaca County,20110
Lee County,17144
Leon County,17270
Liberty County,86323
Limestone County,23519
Lipscomb County,3355
Live Oak County,12166
Llano County,21646
Loving County,152
Lubbock County,307412
Lynn County,5877
McCulloch County,7987
McLennan County,254607
McMullen County,749
Madison County,14422
Marion County,9928
Martin County,5753
Mason County,4280
Matagorda County,36552
Maverick County,58485
Medina County,50921
Menard County,2139
Midland County,172578
Milam County,25131
Mills County,4921
Mitchell County,8145
Montague County,19596
Montgomery County,590925
Moore County,21485
Morris County,12339
Motley County,1234
Nacogdoches County,65711
Navarro County,49565
Newton County,13746
Nolan County,14751
Nueces County,362265
Ochiltree County,9947
Oldham County,2131
Orange County,83572
Palo Pinto County,28875
Panola County,23148
Parker County,138371
Parmer County,9864
Pecos County,15673
Polk County,50031
Potter County,119648
Presidio County,6948
Rains County,12159
Randall County,136271
Reagan County,3741
Real County,3478
Red River County,12175
Reeves County,15695
Refugio County,7032
Roberts County,903
Robertson County,17284
Rockwall County,100657
Runnels County,10234
Rusk County,54450
Sabine County,10589
San Augustine County,8232
San Jacinto County,28719
San Patricio County,66893
San Saba County,6054
Schleicher County,2895
Scurry County,16866
Shackelford County,3253
Shelby County,25418
Sherman County,3079
Smith County,230221
Somervell County,9016
Starr County,64525
Stephens County,9433
Sterling County,1311
Stonewall County,1362
Sutton County,3758
Swisher County,7462
Tarrant County,2084931
Taylor County,137640
Terrell County,823
Terry County,12287
Throckmorton County,1515
Titus County,33033
Tom Green County,118189
Travis County,1248743
Trinity County,14740
Tyler County,21696
Upshur County,41260
Upton County,3671
Uvalde County,26846
Val Verde County,49208
Van Zandt County,56019
Victoria County,92035
Walker County,72480
Waller County,53126
Ward County,11720
Washington County,35108
Webb County,275910
Wharton County,41619
Wheeler County,5191
Wichita County,132064
Wilbarger County,12820
Willacy County,21515
Williamson County,566719
Wilson County,50224
Winkler County,7720
Wise County,68305
Wood County,45129
Yoakum County,8591
Young County,18045
Zapata County,14190
Zavala County,11983
