New Mexico,2095428
Bernalillo County,678701
Catron County,3578
Chaves County,64689
Cibola County,26746
Colfax County,12110
Curry County,49437
De Baca County,1781
Doña Ana County,217522
Eddy County,57900
Grant County,27346
Guadalupe County,4341
Harding County,655
Hidalgo County,4240
Lea County,69611
Lincoln County,19556
Los Alamos County,19101
Luna County,23963
McKinley County,72290
Mora County,4506
Otero County,66781
Quay County,8253
Rio Arriba County,39006
Roosevelt County,18743
Sandoval County,145179
San Juan County,125043
San Miguel County,27591
Santa Fe County,150056
Sierra County,10968
Socorro County,16735
Taos County,32835
Torrance County,15591
Union County,4118
Valencia County,76456
