Washington,7535591
Adams County,19759
Asotin County,22610
Benton County,201877
Chelan County,77036
Clallam County,76737
Clark County,481857
Columbia County,4059
Cowlitz County,108987
Douglas County,42907
Ferry County,7649
Franklin County,94347
Garfield County,2247
Grant County,97331
Grays Harbor County,73901
Island County,84460
Jefferson County,31729
King County,2233163
Kitsap County,269805
Kittitas County,47364
Klickitat County,22107
Lewis County,79604
Lincoln County,10740
Mason County,65507
Okanogan County,42132
Pacific County,22036
Pend Oreille County,13602
Pierce County,891299
San Juan County,17128
Skagit County,128206
Skamania County,11924
Snohomish County,814901
Spokane County,514631
Stevens County,45260
Thurston County,286419
Wahkiakum County,4426
Walla Walla County,60922
Whatcom County,225685
Whitman County,49791
Yakima County,251446
