Kentucky,4468402
Adair County,19215
Allen County,21122
Anderson County,22663
Ballard County,7979
Barren County,44176
Bath County,12383
Bell County,26569
Boone County,131533
Bourbon County,20184
Boyd County,47240
Boyle County,30100
Bracken County,8239
Breathitt County,12726
Breckinridge County,20388
Bullitt County,81069
Butler County,12772
Caldwell County,12715
Calloway County,39135
Campbell County,93152
Carlisle County,4771
Carroll County,10737
Carter County,27004
Casey County,15888
Christian County,71671
Clark County,36249
Clay County,20105
Clinton County,10206
Crittenden County,8915
Cumberland County,6659
Daviess County,101104
Edmonson County,12274
Elliott County,7508
Estill County,14198
Fayette County,323780
Fleming County,14432
Floyd County,35845
Franklin County,50815
Fulton County,6120
Gallatin County,8832
Garrard County,17560
Grant County,25121
Graves County,37317
Grayson County,26321
Green County,11049
Greenup County,35268
Hancock County,8758
Hardin County,110356
Harlan County,26409
Harrison County,18778
Hart County,18906
Henderson County,45591
Henry County,16106
Hickman County,4421
Hopkins County,45068
Jackson County,13442
Jefferson County,770517
Jessamine County,53920
Johnson County,22386
Kenton County,166051
Knott County,15126
Knox County,31304
Larue County,14307
Laurel County,60669
Lawrence County,15571
Lee County,7033
Leslie County,10143
Letcher County,21899
Lewis County,13257
Lincoln County,24644
Livingston County,9242
Logan County,26989
Lyon County,8009
McCracken County,65346
McCreary County,17408
McLean County,9252
Madison County,92368
Magoffin County,12362
Marion County,19404
Marshall County,31191
Martin County,11323
Mason County,17150
Meade County,28715
Menifee County,6451
Mercer County,21774
Metcalfe County,10030
Monroe County,10718
Montgomery County,28203
Morgan County,13345
Muhlenberg County,30774
Nelson County,45851
Nicholas County,7166
Ohio County,24087
Oldham County,66470
Owen County,10880
Owsley County,4472
Pendleton County,14529
Perry County,26092
Pike County,58402
Powell County,12442
Pulaski County,64623
Robertson County,2135
Rockcastle County,16750
Rowan County,24583
Russell County,17821
Scott County,56031
Shelby County,48518
Simpson County,18529
Spencer County,18794
Taylor County,25549
Todd County,12311
Trigg County,14643
Trimble County,8515
Union County,14505
Warren County,131264
Washington County,12084
Wayne County,20468
Webster County,13111
Whitley County,36242
Wolfe County,7177
Woodford County,26533
