,Day,2.85,2.00,3.00,4.00,10.00
0,0,8646.0,8646.0,8646.0,8646.0,8646.0
1,1,10123.553062480307,10964.779633587385,10031.876676111286,9604.317114496313,8894.274871139789
2,2,11853.034180661789,13904.206544571052,11639.37373492181,10668.543516423138,9149.592443352094
3,3,13877.183767183084,17629.65684600965,13503.750085182957,11850.311333943371,9412.147426000489
4,4,16245.913852148058,22350.118397024693,15665.81147485864,13162.51329348294,9682.139614607742
5,5,19017.481969418932,28329.415913123237,18172.761382975204,14619.435357285143,9959.774006132284
6,6,22259.846210313168,35900.15719761588,21079.174883072297,16236.902379803862,10245.260915779612
7,7,26052.225257816503,45480.95653576843,24448.1105844869,18032.437835983408,10538.816095295184
