,Doubling time,R0,beta,gamma,Peak days,Peak cases
0,2.852,3.396,0.243,0.071,49,3177539
1,2.0,4.759,0.34,0.071,34,4289532
2,3.0,3.247,0.232,0.071,51,3024132
3,4.0,2.554,0.182,0.071,60+,1903331
4,10.0,1.403,0.1,0.071,60+,45812
