,county,03/27,03/28,03/29,03/30,03/31,04/01,04/02
0,Atlantic,17.0,24.3,37.4,56.6,75.3,100.2,147.3
1,Bergen,2239.2,2938.4,4278.0,6492.8,8708.3,12054.4,17257.3
2,Burlington,119.4,152.9,236.0,344.2,462.7,619.5,917.8
3,Camden,139.0,177.9,263.3,402.3,537.9,747.0,1048.6
4,Cape May,10.9,15.3,24.0,30.8,44.9,60.8,94.5
5,Cumberland,8.4,10.6,15.4,24.2,31.7,41.3,63.3
6,Essex,1152.2,1483.5,2225.8,3366.4,4498.6,6197.7,8862.9
7,Gloucester,65.8,83.2,124.8,185.6,261.3,350.9,510.0
8,Hudson,841.1,1090.1,1594.2,2422.1,3233.4,4510.7,6433.0
9,Hunterdon,74.7,99.7,152.5,217.6,297.6,406.3,597.1
10,Mercer,205.9,257.3,403.1,597.3,820.0,1128.2,1601.2
11,Middlesex,950.3,1205.6,1827.9,2744.2,3678.4,5106.7,7302.6
12,Monmouth,946.1,1218.8,1838.1,2800.3,3737.2,5151.0,7367.5
13,Morris,599.2,753.1,1139.3,1718.6,2284.3,3174.6,4540.6
14,Ocean,731.2,957.1,1435.7,2173.2,2900.9,4009.9,5785.1
15,Passaic,749.9,989.5,1477.6,2249.2,2988.3,4126.7,5960.1
16,Salem,4.7,6.6,10.3,17.2,21.9,27.6,39.8
17,Somerset,337.3,435.5,662.7,1003.6,1325.6,1835.6,2632.3
18,Sussex,94.5,123.2,180.1,278.1,356.4,480.5,706.1
19,Union,816.0,1064.0,1588.7,2375.3,3200.3,4401.0,6319.0
20,Warren,61.2,79.0,114.9,174.6,231.8,314.9,472.4
