,county,03/29,03/30,03/31,04/01,04/02,04/03,04/04
0,Atlantic,21.28,25.7,32.96,42.42,50.68,66.88,77.88
1,Bergen,2271.2,2759.54,3503.22,4344.16,5263.02,6740.54,7824.0
2,Burlington,141.96,176.46,215.26,271.86,326.02,421.86,488.36
3,Camden,153.42,187.44,233.3,295.86,348.8,453.22,524.04
4,Cape May,8.38,10.48,13.58,17.28,21.16,27.22,31.38
5,Cumberland,13.48,15.94,21.04,24.78,29.82,39.54,45.2
6,Essex,1332.76,1624.52,2016.98,2505.22,3010.04,3816.78,4412.72
7,Gloucester,64.54,80.98,100.88,126.42,155.36,198.94,230.56
8,Hudson,954.08,1168.02,1467.72,1834.08,2241.6,2858.82,3324.22
9,Hunterdon,74.38,88.66,112.5,137.94,169.38,213.84,248.7
10,Mercer,205.6,248.92,313.64,394.74,476.08,608.42,712.04
11,Middlesex,996.5,1217.64,1525.98,1902.9,2312.44,2964.84,3420.56
12,Monmouth,962.26,1177.08,1451.94,1813.1,2207.6,2819.4,3254.7
13,Morris,540.18,659.38,822.86,1019.26,1226.66,1560.02,1825.14
14,Ocean,778.46,951.48,1191.3,1494.24,1807.4,2320.72,2682.38
15,Passaic,749.1,918.32,1165.92,1430.56,1772.96,2247.38,2613.24
16,Salem,3.76,4.4,5.12,6.68,8.28,10.18,12.22
17,Somerset,316.26,386.08,483.32,611.4,742.8,946.9,1094.74
18,Sussex,100.56,122.88,154.94,194.48,234.7,305.34,355.64
19,Union,946.94,1155.66,1439.04,1803.04,2153.2,2754.6,3217.96
20,Warren,62.14,74.1,93.98,117.68,141.1,180.52,207.68
21,Unknown,3049.74,3676.84,4711.36,5905.02,7274.36,9346.98,10781.76
22,Jersey,10697.24,13053.68,16365.48,20388.100000000002,24699.1,31555.96,36603.36
