,county,03/28,03/29,03/30,03/31,04/01,04/02,04/03
0,Bergen,1846.98,2210.52,2722.16,3164.24,3768.64,4472.08,5411.1
1,Essex,1027.22,1246.66,1540.02,1803.38,2140.28,2562.5,3135.44
2,Middlesex,793.62,956.26,1189.5,1390.78,1651.06,1976.22,2383.42
3,Monmouth,785.46,949.9,1174.36,1361.12,1612.52,1933.82,2355.38
4,Hudson,740.1,897.28,1112.14,1300.36,1546.04,1847.38,2254.86
5,Union,644.52,776.06,953.66,1113.58,1320.5,1575.82,1918.6
6,Morris,489.76,588.6,733.12,850.74,1008.8,1206.36,1473.68
7,Passaic,598.4,727.48,905.76,1062.82,1255.92,1500.0,1819.3
8,Somerset,275.76,334.32,411.28,482.08,571.44,679.84,835.42
9,Mercer,161.68,197.38,244.98,282.22,338.38,404.52,492.16
10,Burlington,108.84,132.9,162.14,192.34,228.16,274.8,328.46
11,Camden,121.8,147.92,183.46,212.9,251.3,303.12,365.86
12,Ocean,596.0,720.28,882.72,1040.04,1216.68,1433.48,1782.66
13,Hunterdon,64.82,78.16,96.22,110.4,132.5,159.22,191.38
14,Atlantic,17.4,21.64,25.98,31.34,36.72,43.44,53.98
15,Gloucester,48.38,59.2,71.82,83.24,98.48,117.24,145.12
16,Warren,47.52,57.04,72.44,85.66,100.92,116.78,148.2
17,Sussex,80.22,97.42,122.1,140.12,168.18,200.2,245.92
18,Cape May,8.52,10.48,12.5,15.14,16.98,19.92,22.86
19,Cumberland,10.72,13.24,16.36,20.18,22.74,26.22,31.94
20,Salem,3.82,4.26,5.34,6.02,7.18,8.42,9.98
21,Unknown,2579.44,3190.86,4064.18,4973.48,6066.4,7244.62,8648.16
