,Doubling time,R0,beta,gamma,Peak days,Peak cases
0,2.284,4.175,0.298,0.071,40,3866901
1,2.0,4.759,0.34,0.071,35,4289077
2,3.0,3.247,0.232,0.071,53,3025049
3,4.0,2.554,0.182,0.071,60+,1748183
4,10.0,1.403,0.1,0.071,60+,36525
