,county,03/29,03/30,03/31,04/01,04/02,04/03,04/04
0,Atlantic,19.96,24.06,28.9,35.7,39.94,47.78,55.64
1,Bergen,2235.8,2722.74,3316.02,4006.16,4741.26,5641.26,6834.6
2,Burlington,140.08,167.78,204.8,247.92,288.56,341.58,415.32
3,Camden,151.94,185.92,222.22,269.2,316.3,374.8,461.02
4,Cape May,8.46,9.72,11.38,14.12,15.66,19.74,23.52
5,Cumberland,13.44,16.58,19.8,24.22,30.02,34.4,43.62
6,Essex,1323.0,1610.08,1965.44,2372.08,2788.04,3284.52,4043.04
7,Gloucester,62.56,75.38,91.08,111.08,127.86,150.28,185.6
8,Hudson,946.12,1147.62,1397.72,1683.68,2001.28,2361.94,2893.22
9,Hunterdon,74.72,91.04,111.72,133.88,156.74,189.2,230.52
10,Mercer,205.74,253.58,310.96,374.86,445.98,526.32,650.82
11,Middlesex,985.02,1204.58,1458.94,1759.46,2075.96,2456.96,3019.58
12,Monmouth,951.62,1159.8,1417.9,1718.66,2034.4,2399.08,2950.9
13,Morris,532.46,650.04,792.58,964.08,1153.16,1354.58,1655.24
14,Ocean,764.22,934.12,1143.94,1383.8,1629.0,1931.52,2384.64
15,Passaic,748.08,926.8,1127.52,1377.92,1634.74,1956.12,2420.7
16,Salem,3.9,4.82,5.9,7.68,8.76,11.72,13.84
17,Somerset,317.34,389.78,474.18,573.82,675.38,793.98,981.76
18,Sussex,98.32,120.82,144.42,177.68,208.32,245.66,303.18
19,Union,926.86,1128.84,1374.54,1663.84,1956.84,2296.7,2856.8
20,Warren,62.82,76.88,95.72,116.6,138.86,163.68,199.98
21,Unknown,3038.66,3775.8,4520.6,5619.12,6651.22,8014.3,9831.42
22,Jersey,10572.460000000001,12900.98,15715.679999999998,19016.44,22467.06,26581.820000000003,32623.539999999994
